model,extra,scenario,expected_action,total_errors,action_type_errors,action_type_pct,with_correct_args,with_wrong_args,argument_only_errors,arg_only_pct
anthropic-claude-opus-4.6_think,0A,7,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0A,8,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0A,9,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0A,10,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0A,11,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0A,12,Ask,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0A,13,Ask,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0A,14,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0A,15,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0A,16,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0A,17,Tell,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0A,18,Tell,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0A,19,Tell,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0A,20,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0A,21,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0A,22,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0A,23,Pass,3,3,100.0,3,0,0,0.0
anthropic-claude-opus-4.6_think,0A,24,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0A,27,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0A,28,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0A,29,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0A,30,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0A,31,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0A,32,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0A,37,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0A,39,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0B,7,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0B,8,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0B,9,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0B,10,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0B,11,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0B,12,Ask,1,1,100.0,1,0,0,0.0
anthropic-claude-opus-4.6_think,0B,13,Ask,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0B,14,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0B,15,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0B,16,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0B,17,Tell,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0B,18,Tell,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0B,19,Tell,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0B,20,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0B,21,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0B,22,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0B,23,Pass,3,3,100.0,3,0,0,0.0
anthropic-claude-opus-4.6_think,0B,24,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0B,27,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0B,28,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0B,29,Pass,1,1,100.0,1,0,0,0.0
anthropic-claude-opus-4.6_think,0B,30,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0B,31,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0B,32,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0B,37,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,0B,39,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1A,7,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1A,8,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1A,9,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1A,10,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1A,11,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1A,12,Ask,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1A,13,Ask,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1A,14,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1A,15,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1A,16,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1A,17,Tell,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1A,18,Tell,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1A,19,Tell,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1A,20,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1A,21,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1A,22,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1A,23,Pass,3,3,100.0,3,0,0,0.0
anthropic-claude-opus-4.6_think,1A,24,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1A,27,Pass,1,1,100.0,1,0,0,0.0
anthropic-claude-opus-4.6_think,1A,28,Pass,1,1,100.0,0,1,0,0.0
anthropic-claude-opus-4.6_think,1A,29,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1A,30,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1A,31,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1A,32,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1A,37,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1A,39,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1B,7,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1B,8,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1B,9,Pass,0,0,0.0,0,0,0,0.0
anthropic-claude-opus-4.6_think,1B,10,Pass,2,2,100.0,2,0,0,0.0
anthropic-claude-opus-4.6_think,1B,11,Pass,0,0,0.0,0,0,0,0.0
