ToM MASTERY: Combined Uncertainty
Handling self + teammate uncertainty together
============================================================================================================================================
Model                                         |      N |             0A |             0B |             1A |             1B |        Overall
--------------------------------------------------------------------------------------------------------------------------------------------
anthropic-claude-opus-4.5                     |    780 |  50.0% ( 20) |  50.0% ( 20) |  50.0% ( 20) |  50.0% ( 20) |  50.0% ( 80)
anthropic-claude-opus-4.6                     |    156 |  50.0% (  4) |  50.0% (  4) |  50.0% (  4) |  50.0% (  4) |  50.0% ( 16)
anthropic-claude-opus-4.6 (with COT)          |    780 |  50.0% ( 20) |  50.0% ( 20) |  50.0% ( 20) |  50.0% ( 20) |  50.0% ( 80)
anthropic-claude-opus-4.6_think               |    780 |  50.0% ( 20) |  50.0% ( 20) |  50.0% ( 20) |  50.0% ( 20) |  50.0% ( 80)
deepseek-V3.2                                 |   1560 |   0.0% ( 40) |   0.0% ( 40) |   0.0% ( 40) |   0.0% ( 40) |   0.0% (160)
deepseek-V3.2 (with COT)                      |   1543 |  25.6% ( 39) |  32.5% ( 40) |   5.0% ( 40) |  37.5% ( 40) |  25.2% (159)
deepseek-V3.2_think                           |    301 |  37.5% (  8) |  50.0% (  8) |  50.0% (  8) |  50.0% (  8) |  46.9% ( 32)
deepseek-chat-V3.1                            |    156 |  75.0% (  4) |  50.0% (  4) |  50.0% (  4) |  75.0% (  4) |  62.5% ( 16)
deepseek-chat-v3.1                            |   3120 |  66.2% ( 80) |  46.2% ( 80) |  32.5% ( 80) |  46.2% ( 80) |  47.8% (320)
deepseek-chat-v3.1 (with COT)                 |   1560 |  40.0% ( 40) |  47.5% ( 40) |  35.0% ( 40) |  50.0% ( 40) |  43.1% (160)
hermes-4-70b                                  |   1560 |   7.5% ( 40) |   0.0% ( 40) |   5.0% ( 40) |   0.0% ( 40) |   3.1% (160)
hermes-4-70b (with COT)                       |   1560 |  57.5% ( 40) |  32.5% ( 40) |  47.5% ( 40) |  20.0% ( 40) |  39.4% (160)
kimi-k2-0905                                  |   1560 |   5.0% ( 40) |   0.0% ( 40) |   0.0% ( 40) |   0.0% ( 40) |   1.2% (160)
kimi-k2-0905 (with COT)                       |    156 |   0.0% (  4) |   0.0% (  4) |   0.0% (  4) |   0.0% (  4) |   0.0% ( 16)
kimi-k2-thinking                              |    747 |  50.0% ( 20) |  55.0% ( 20) |  50.0% ( 20) |  50.0% ( 20) |  51.2% ( 80)
llama-3.1-70b-instruct                        |   3120 |  20.0% ( 80) |  17.5% ( 80) |  18.8% ( 80) |   0.0% ( 80) |  14.1% (320)
llama-3.1-70b-instruct (with COT)             |   3179 |  40.2% ( 82) |  28.0% ( 82) |  39.0% ( 82) |  13.4% ( 82) |  30.2% (328)
mistral-large-2512                            |   1560 |  27.5% ( 40) |  15.0% ( 40) |  25.0% ( 40) |  47.5% ( 40) |  28.7% (160)
mistral-large-2512 (with COT)                 |    834 |   9.1% ( 22) |  18.2% ( 22) |   0.0% ( 21) |  22.7% ( 22) |  12.6% ( 87)
mistral-large-2512_think                      |    156 |  25.0% (  4) |  25.0% (  4) |   0.0% (  4) |  50.0% (  4) |  25.0% ( 16)
mistral-large-2512_think (with COT)           |   1182 |  10.0% ( 30) |  23.3% ( 30) |  12.9% ( 31) |  35.5% ( 31) |  20.5% (122)
mistral-small-24b-instruct-2501               |   1560 |   0.0% ( 40) |   0.0% ( 40) |   0.0% ( 40) |   0.0% ( 40) |   0.0% (160)
mistral-small-24b-instruct-2501 (with COT)    |   1558 |  55.0% ( 40) |  10.0% ( 40) |  30.0% ( 40) |  32.5% ( 40) |  31.9% (160)
mistral-small-24b-instruct-2501_think         |   1560 |   0.0% ( 40) |   0.0% ( 40) |   0.0% ( 40) |   0.0% ( 40) |   0.0% (160)
qwen3-32b                                     |   1560 |  70.0% ( 40) | 100.0% ( 40) |  75.0% ( 40) |  82.5% ( 40) |  81.9% (160)
qwen3-32b (with COT)                          |   1559 |  57.5% ( 40) | 100.0% ( 40) |  87.5% ( 40) |  90.0% ( 40) |  83.8% (160)
qwen3-32b_think                               |   1549 |  50.0% ( 40) |  50.0% ( 40) |  50.0% ( 40) |  47.5% ( 40) |  49.4% (160)
qwen3-next-80b-a3b-instruct                   |   1560 |   5.0% ( 40) |   2.5% ( 40) |   0.0% ( 40) |  10.0% ( 40) |   4.4% (160)
qwen3-next-80b-a3b-instruct (with COT)        |   1560 |   0.0% ( 40) |   0.0% ( 40) |   0.0% ( 40) |   0.0% ( 40) |   0.0% (160)
qwen3-next-80b-a3b-thinking_think             |   1516 |  50.0% ( 40) |  50.0% ( 40) |  40.0% ( 40) |  50.0% ( 40) |  47.5% (160)
--------------------------------------------------------------------------------------------------------------------------------------------
ALL MODELS                                    |  40332 |  32.4% (1037) |  30.0% (1038) |  27.5% (1038) |  29.1% (1039) |  29.7% (4152)
============================================================================================================================================
