ToM MASTERY: Self: Knowledge vs Belief
Distinguishing own knowledge from mere belief
============================================================================================================================================
Model                                         |      N |             0A |             0B |             1A |             1B |        Overall
--------------------------------------------------------------------------------------------------------------------------------------------
anthropic-claude-opus-4.5                     |    780 |  50.0% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  50.0% (240)
anthropic-claude-opus-4.6                     |    156 |  50.0% ( 12) |  50.0% ( 12) |  50.0% ( 12) |  50.0% ( 12) |  50.0% ( 48)
anthropic-claude-opus-4.6 (with COT)          |    780 |  55.0% ( 60) |  55.0% ( 60) |  50.0% ( 60) |  80.0% ( 60) |  60.0% (240)
anthropic-claude-opus-4.6_think               |    780 |  85.0% ( 60) |  65.0% ( 60) |  75.0% ( 60) |  90.0% ( 60) |  78.8% (240)
deepseek-V3.2                                 |   1560 |   0.0% (120) |   5.0% (120) |   5.0% (120) |   7.5% (120) |   4.4% (480)
deepseek-V3.2 (with COT)                      |   1543 |   8.3% (120) |  29.2% (120) |  16.7% (120) |  22.8% (114) |  19.2% (474)
deepseek-V3.2_think                           |    301 |  75.0% ( 24) |  50.0% ( 24) |  75.0% ( 24) |  41.7% ( 24) |  60.4% ( 96)
deepseek-chat-V3.1                            |    156 |  50.0% ( 12) |  75.0% ( 12) |  33.3% ( 12) |  50.0% ( 12) |  52.1% ( 48)
deepseek-chat-v3.1                            |   3120 |  54.6% (240) |  57.1% (240) |  47.9% (240) |  48.8% (240) |  52.1% (960)
deepseek-chat-v3.1 (with COT)                 |   1560 |  44.2% (120) |  50.8% (120) |  50.0% (120) |  50.0% (120) |  48.8% (480)
hermes-4-70b                                  |   1560 |  42.5% (120) |  53.3% (120) |  51.7% (120) |  50.0% (120) |  49.4% (480)
hermes-4-70b (with COT)                       |   1560 |  48.3% (120) |  66.7% (120) |  60.0% (120) |  80.8% (120) |  64.0% (480)
kimi-k2-0905                                  |   1560 |  42.5% (120) |  49.2% (120) |  45.8% (120) |  32.5% (120) |  42.5% (480)
kimi-k2-0905 (with COT)                       |    156 |  25.0% ( 12) |  50.0% ( 12) |  41.7% ( 12) |   0.0% ( 12) |  29.2% ( 48)
kimi-k2-thinking                              |    747 |  57.4% ( 54) |  50.0% ( 60) |  50.9% ( 55) |  44.4% ( 54) |  50.7% (223)
llama-3.1-70b-instruct                        |   3120 |  62.5% (240) |  52.5% (240) |  65.0% (240) |  52.5% (240) |  58.1% (960)
llama-3.1-70b-instruct (with COT)             |   3179 |  52.8% (252) |  52.0% (252) |  52.0% (252) |  75.8% (252) |  58.1% (1008)
mistral-large-2512                            |   1560 |  15.0% (120) |  18.3% (120) |  15.0% (120) |  11.7% (120) |  15.0% (480)
mistral-large-2512 (with COT)                 |    834 |  20.8% ( 72) |  18.1% ( 72) |  27.8% ( 72) |  52.8% ( 72) |  29.9% (288)
mistral-large-2512_think                      |    156 |  33.3% ( 12) |  33.3% ( 12) |   0.0% ( 12) |   0.0% ( 12) |  16.7% ( 48)
mistral-large-2512_think (with COT)           |   1182 |  22.9% ( 96) |  31.2% ( 96) |  19.8% ( 96) |  48.4% ( 93) |  30.4% (381)
mistral-small-24b-instruct-2501               |   1560 |  15.0% (120) |  42.5% (120) |  20.0% (120) |  50.0% (120) |  31.9% (480)
mistral-small-24b-instruct-2501 (with COT)    |   1558 |  36.7% (120) |  35.0% (120) |  45.0% (120) |  30.8% (120) |  36.9% (480)
mistral-small-24b-instruct-2501_think         |   1560 |   7.5% (120) |  42.5% (120) |  25.0% (120) |  50.0% (120) |  31.2% (480)
qwen3-32b                                     |   1560 |  46.7% (120) |  50.0% (120) |  48.3% (120) |  30.0% (120) |  43.8% (480)
qwen3-32b (with COT)                          |   1559 |   3.3% (120) |  43.3% (120) |  56.7% (120) |  36.7% (120) |  35.0% (480)
qwen3-32b_think                               |   1549 |  57.5% (120) |  50.0% (120) |  50.0% (120) |  45.8% (118) |  50.8% (478)
qwen3-next-80b-a3b-instruct                   |   1560 |  30.0% (120) |  19.2% (120) |  10.0% (120) |  43.3% (120) |  25.6% (480)
qwen3-next-80b-a3b-instruct (with COT)        |   1560 |   0.0% (120) |   1.7% (120) |   5.0% (120) |  25.0% (120) |   7.9% (480)
qwen3-next-80b-a3b-thinking_think             |   1516 |  52.5% (120) |  48.3% (120) |  50.0% (120) |  49.1% (112) |  50.0% (472)
--------------------------------------------------------------------------------------------------------------------------------------------
ALL MODELS                                    |  40332 |  37.5% (3126) |  42.5% (3132) |  40.7% (3127) |  46.0% (3107) |  41.7% (12492)
============================================================================================================================================
