ToM MASTERY: Strategic Lies
Knowing when lying is strategically effective vs. unnecessary
============================================================================================================================================
Model                                         |      N |             0A |             0B |             1A |             1B |        Overall
--------------------------------------------------------------------------------------------------------------------------------------------
anthropic-claude-opus-4.5                     |    780 |  46.7% ( 30) |  50.0% ( 30) |  50.0% ( 30) |  50.0% ( 30) |  49.2% (120)
anthropic-claude-opus-4.6                     |    156 |  16.7% (  6) |  33.3% (  6) |  50.0% (  6) |  33.3% (  6) |  33.3% ( 24)
anthropic-claude-opus-4.6 (with COT)          |    780 |  50.0% ( 30) |  53.3% ( 30) |  56.7% ( 30) |  70.0% ( 30) |  57.5% (120)
anthropic-claude-opus-4.6_think               |    780 |  50.0% ( 30) |  53.3% ( 30) |  50.0% ( 30) |  56.7% ( 30) |  52.5% (120)
deepseek-V3.2                                 |   1560 |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   3.3% ( 60) |   0.8% (240)
deepseek-V3.2 (with COT)                      |   1543 |   8.3% ( 60) |  37.3% ( 59) |  23.7% ( 59) |  33.9% ( 59) |  25.7% (237)
deepseek-V3.2_think                           |    301 |  58.3% ( 12) |  54.5% ( 11) |  50.0% ( 12) |  50.0% ( 12) |  53.2% ( 47)
deepseek-chat-V3.1                            |    156 |   0.0% (  6) |  50.0% (  6) |  50.0% (  6) |  33.3% (  6) |  33.3% ( 24)
deepseek-chat-v3.1                            |   3120 |  10.0% (120) |  35.8% (120) |  12.5% (120) |  21.7% (120) |  20.0% (480)
deepseek-chat-v3.1 (with COT)                 |   1560 |  65.0% ( 60) |  80.0% ( 60) |  80.0% ( 60) |  75.0% ( 60) |  75.0% (240)
hermes-4-70b                                  |   1560 |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% (240)
hermes-4-70b (with COT)                       |   1560 |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% (240)
kimi-k2-0905                                  |   1560 |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% (240)
kimi-k2-0905 (with COT)                       |    156 |   0.0% (  6) |   0.0% (  6) |   0.0% (  6) |   0.0% (  6) |   0.0% ( 24)
kimi-k2-thinking                              |    747 |  60.7% ( 28) |  73.3% ( 30) |  58.6% ( 29) |  74.1% ( 27) |  66.7% (114)
llama-3.1-70b-instruct                        |   3120 |   2.5% (120) |   0.0% (120) |   0.0% (120) |   0.0% (120) |   0.6% (480)
llama-3.1-70b-instruct (with COT)             |   3179 |  19.2% (120) |  17.5% (120) |  18.3% (120) |  20.8% (120) |  19.0% (480)
mistral-large-2512                            |   1560 |   1.7% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   1.7% ( 60) |   0.8% (240)
mistral-large-2512 (with COT)                 |    834 |   0.0% ( 30) |   3.3% ( 30) |   0.0% ( 30) |   0.0% ( 30) |   0.8% (120)
mistral-large-2512_think                      |    156 |  16.7% (  6) |   0.0% (  6) |   0.0% (  6) |   0.0% (  6) |   4.2% ( 24)
mistral-large-2512_think (with COT)           |   1182 |  14.6% ( 48) |   6.2% ( 48) |  14.6% ( 48) |  10.4% ( 48) |  11.5% (192)
mistral-small-24b-instruct-2501               |   1560 |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% (240)
mistral-small-24b-instruct-2501 (with COT)    |   1558 |  10.0% ( 60) |  21.7% ( 60) |  18.3% ( 60) |  23.3% ( 60) |  18.3% (240)
mistral-small-24b-instruct-2501_think         |   1560 |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% (240)
qwen3-32b                                     |   1560 |   0.0% ( 60) |  18.3% ( 60) |   0.0% ( 60) |   1.7% ( 60) |   5.0% (240)
qwen3-32b (with COT)                          |   1559 |   3.3% ( 60) |  38.3% ( 60) |   6.7% ( 60) |  20.0% ( 60) |  17.1% (240)
qwen3-32b_think                               |   1549 |  47.5% ( 59) |  56.9% ( 58) |  53.3% ( 60) |  78.0% ( 59) |  58.9% (236)
qwen3-next-80b-a3b-instruct                   |   1560 |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% (240)
qwen3-next-80b-a3b-instruct (with COT)        |   1560 |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% (240)
qwen3-next-80b-a3b-thinking_think             |   1516 |  51.7% ( 58) |  67.8% ( 59) |  55.2% ( 58) |  81.5% ( 54) |  63.8% (229)
--------------------------------------------------------------------------------------------------------------------------------------------
ALL MODELS                                    |  40332 |  14.6% (1549) |  21.8% (1549) |  16.8% (1550) |  21.0% (1543) |  18.6% (6191)
============================================================================================================================================
