ToM MASTERY: Teammate: Knowledge vs Belief
Distinguishing teammate knowledge from belief
============================================================================================================================================
Model                                         |      N |             0A |             0B |             1A |             1B |        Overall
--------------------------------------------------------------------------------------------------------------------------------------------
anthropic-claude-opus-4.5                     |    780 | 100.0% ( 30) | 100.0% ( 30) |  86.7% ( 30) |  76.7% ( 30) |  90.8% (120)
anthropic-claude-opus-4.6                     |    156 | 100.0% (  6) | 100.0% (  6) | 100.0% (  6) |  83.3% (  6) |  95.8% ( 24)
anthropic-claude-opus-4.6 (with COT)          |    780 | 100.0% ( 30) | 100.0% ( 30) | 100.0% ( 30) | 100.0% ( 30) | 100.0% (120)
anthropic-claude-opus-4.6_think               |    780 | 100.0% ( 30) | 100.0% ( 30) | 100.0% ( 30) | 100.0% ( 30) | 100.0% (120)
deepseek-V3.2                                 |   1560 |  50.0% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  43.3% ( 60) |  48.3% (240)
deepseek-V3.2 (with COT)                      |   1543 |  48.3% ( 60) |  56.7% ( 60) |  60.0% ( 60) |  48.3% ( 60) |  53.3% (240)
deepseek-V3.2_think                           |    301 | 100.0% ( 12) | 100.0% ( 12) | 100.0% ( 12) | 100.0% ( 12) | 100.0% ( 48)
deepseek-chat-V3.1                            |    156 |  83.3% (  6) |  66.7% (  6) |  66.7% (  6) |  50.0% (  6) |  66.7% ( 24)
deepseek-chat-v3.1                            |   3120 |  75.8% (120) |  75.0% (120) |  74.2% (120) |  48.3% (120) |  68.3% (480)
deepseek-chat-v3.1 (with COT)                 |   1560 |  76.7% ( 60) |  85.0% ( 60) |  90.0% ( 60) |  81.7% ( 60) |  83.3% (240)
hermes-4-70b                                  |   1560 |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% (240)
hermes-4-70b (with COT)                       |   1560 |  33.3% ( 60) |   6.7% ( 60) |  21.7% ( 60) |   0.0% ( 60) |  15.4% (240)
kimi-k2-0905                                  |   1560 |  41.7% ( 60) |  45.0% ( 60) |  41.7% ( 60) |  26.7% ( 60) |  38.8% (240)
kimi-k2-0905 (with COT)                       |    156 |   0.0% (  6) |   0.0% (  6) |   0.0% (  6) |   0.0% (  6) |   0.0% ( 24)
kimi-k2-thinking                              |    747 | 100.0% ( 29) | 100.0% ( 30) | 100.0% ( 30) | 100.0% ( 29) | 100.0% (118)
llama-3.1-70b-instruct                        |   3120 |   1.7% (120) |   8.3% (120) |   2.5% (120) |   0.0% (120) |   3.1% (480)
llama-3.1-70b-instruct (with COT)             |   3179 |  48.3% (120) |  45.0% (120) |  45.0% (120) |  44.2% (120) |  45.6% (480)
mistral-large-2512                            |   1560 |  41.7% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  48.3% ( 60) |  47.5% (240)
mistral-large-2512 (with COT)                 |    834 |  50.0% ( 30) |  53.3% ( 30) |  56.7% ( 30) |  50.0% ( 30) |  52.5% (120)
mistral-large-2512_think                      |    156 |  50.0% (  6) |  50.0% (  6) |  50.0% (  6) |  50.0% (  6) |  50.0% ( 24)
mistral-large-2512_think (with COT)           |   1182 |  35.7% ( 42) |  52.4% ( 42) |  64.3% ( 42) |  50.0% ( 42) |  50.6% (168)
mistral-small-24b-instruct-2501               |   1560 |  38.3% ( 60) |  25.0% ( 60) |  30.0% ( 60) |  21.7% ( 60) |  28.7% (240)
mistral-small-24b-instruct-2501 (with COT)    |   1558 |  50.0% ( 60) |  35.0% ( 60) |  45.0% ( 60) |  50.0% ( 60) |  45.0% (240)
mistral-small-24b-instruct-2501_think         |   1560 |  40.0% ( 60) |  25.0% ( 60) |  31.7% ( 60) |  21.7% ( 60) |  29.6% (240)
qwen3-32b                                     |   1560 |  55.0% ( 60) |  80.0% ( 60) |  50.0% ( 60) |  16.7% ( 60) |  50.4% (240)
qwen3-32b (with COT)                          |   1559 |  23.3% ( 60) |  48.3% ( 60) |  31.7% ( 60) |   6.7% ( 60) |  27.5% (240)
qwen3-32b_think                               |   1549 | 100.0% ( 60) |  96.7% ( 60) | 100.0% ( 60) |  94.9% ( 59) |  97.9% (239)
qwen3-next-80b-a3b-instruct                   |   1560 |  46.7% ( 60) |  51.7% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  49.6% (240)
qwen3-next-80b-a3b-instruct (with COT)        |   1560 |  46.7% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  49.2% (240)
qwen3-next-80b-a3b-thinking_think             |   1516 | 100.0% ( 60) | 100.0% ( 60) | 100.0% ( 60) | 100.0% ( 60) | 100.0% (240)
--------------------------------------------------------------------------------------------------------------------------------------------
ALL MODELS                                    |  40332 |  51.8% (1547) |  53.0% (1548) |  52.5% (1548) |  43.8% (1546) |  50.3% (6189)
============================================================================================================================================
