ToM MASTERY: True vs False Belief
Distinguishing true belief from false belief
============================================================================================================================================
Model                                         |      N |             0A |             0B |             1A |             1B |        Overall
--------------------------------------------------------------------------------------------------------------------------------------------
anthropic-claude-opus-4.5                     |    780 |  53.3% ( 30) |  80.0% ( 30) |  76.7% ( 30) |  50.0% ( 30) |  65.0% (120)
anthropic-claude-opus-4.6                     |    156 |  50.0% (  6) |  66.7% (  6) | 100.0% (  6) |  50.0% (  6) |  66.7% ( 24)
anthropic-claude-opus-4.6 (with COT)          |    780 | 100.0% ( 30) | 100.0% ( 30) | 100.0% ( 30) | 100.0% ( 30) | 100.0% (120)
anthropic-claude-opus-4.6_think               |    780 | 100.0% ( 30) |  96.7% ( 30) | 100.0% ( 30) | 100.0% ( 30) |  99.2% (120)
deepseek-V3.2                                 |   1560 |  50.0% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  43.3% ( 60) |  48.3% (240)
deepseek-V3.2 (with COT)                      |   1543 |  46.7% ( 60) |  50.0% ( 60) |  53.3% ( 60) |  66.1% ( 59) |  54.0% (239)
deepseek-V3.2_think                           |    301 | 100.0% ( 12) |  91.7% ( 12) |  83.3% ( 12) |  75.0% ( 12) |  87.5% ( 48)
deepseek-chat-V3.1                            |    156 |  33.3% (  6) |  66.7% (  6) |  50.0% (  6) |  50.0% (  6) |  50.0% ( 24)
deepseek-chat-v3.1                            |   3120 |  60.0% (120) |  56.7% (120) |  59.2% (120) |  46.7% (120) |  55.6% (480)
deepseek-chat-v3.1 (with COT)                 |   1560 |  70.0% ( 60) |  83.3% ( 60) |  85.0% ( 60) |  83.3% ( 60) |  80.4% (240)
hermes-4-70b                                  |   1560 |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% ( 60) |   0.0% (240)
hermes-4-70b (with COT)                       |   1560 |   3.3% ( 60) |   0.0% ( 60) |   6.7% ( 60) |   0.0% ( 60) |   2.5% (240)
kimi-k2-0905                                  |   1560 |  41.7% ( 60) |  45.0% ( 60) |  41.7% ( 60) |  26.7% ( 60) |  38.8% (240)
kimi-k2-0905 (with COT)                       |    156 |   0.0% (  6) |   0.0% (  6) |   0.0% (  6) |   0.0% (  6) |   0.0% ( 24)
kimi-k2-thinking                              |    747 |  96.6% ( 29) |  93.1% ( 29) |  96.7% ( 30) |  80.0% ( 25) |  92.0% (113)
llama-3.1-70b-instruct                        |   3120 |   0.0% (120) |   4.2% (120) |   2.5% (120) |   0.0% (120) |   1.7% (480)
llama-3.1-70b-instruct (with COT)             |   3179 |  46.7% (122) |  44.3% (122) |  45.1% (122) |  43.8% (121) |  45.0% (487)
mistral-large-2512                            |   1560 |  31.7% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  48.3% ( 60) |  45.0% (240)
mistral-large-2512 (with COT)                 |    834 |  51.6% ( 31) |  51.6% ( 31) |  61.3% ( 31) |  50.0% ( 30) |  53.7% (123)
mistral-large-2512_think                      |    156 |  50.0% (  6) |  50.0% (  6) |  50.0% (  6) |  50.0% (  6) |  50.0% ( 24)
mistral-large-2512_think (with COT)           |   1182 |  23.8% ( 42) |  54.8% ( 42) |  64.3% ( 42) |  45.2% ( 42) |  47.0% (168)
mistral-small-24b-instruct-2501               |   1560 |  38.3% ( 60) |  25.0% ( 60) |  30.0% ( 60) |  21.7% ( 60) |  28.7% (240)
mistral-small-24b-instruct-2501 (with COT)    |   1558 |  38.3% ( 60) |  51.7% ( 60) |  43.3% ( 60) |  50.0% ( 60) |  45.8% (240)
mistral-small-24b-instruct-2501_think         |   1560 |  40.0% ( 60) |  25.0% ( 60) |  31.7% ( 60) |  21.7% ( 60) |  29.6% (240)
qwen3-32b                                     |   1560 |  41.7% ( 60) |  55.0% ( 60) |  33.3% ( 60) |  11.7% ( 60) |  35.4% (240)
qwen3-32b (with COT)                          |   1559 |  20.0% ( 60) |  41.7% ( 60) |  20.0% ( 60) |   5.0% ( 60) |  21.7% (240)
qwen3-32b_think                               |   1549 |  85.0% ( 60) |  95.0% ( 60) | 100.0% ( 60) |  91.7% ( 60) |  92.9% (240)
qwen3-next-80b-a3b-instruct                   |   1560 |  46.7% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  49.2% (240)
qwen3-next-80b-a3b-instruct (with COT)        |   1560 |  46.7% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  49.2% (240)
qwen3-next-80b-a3b-thinking_think             |   1516 | 100.0% ( 60) | 100.0% ( 60) | 100.0% ( 60) |  96.6% ( 59) |  99.2% (239)
--------------------------------------------------------------------------------------------------------------------------------------------
ALL MODELS                                    |  40332 |  45.1% (1550) |  49.1% (1550) |  48.7% (1551) |  42.4% (1542) |  46.3% (6193)
============================================================================================================================================
