ToM Mastery Load Effects by Category
============================================================================================================================================

=== Self: Knowledge vs Belief ===
Distinguishing own knowledge from mere belief
Model                                         |      N |             0A |             0B |             1A |             1B |        Overall
--------------------------------------------------------------------------------------------------------------------------------------------
anthropic-claude-3.5-sonnet                   |   1040 |  55.8% (120) |  53.3% (120) |  49.2% (120) |  56.7% (120) |  53.8% (480)
anthropic-claude-3.7-sonnet                   |   1040 |  41.7% (120) |  56.7% (120) |  67.5% (120) |  53.3% (120) |  54.8% (480)
anthropic-claude-3.7-sonnet:thinking          |   1040 |  50.0% (120) |  50.0% (120) |  50.0% (120) |  55.8% (120) |  51.5% (480)
anthropic-claude-sonnet-4                     |   1027 |  50.0% (120) |  57.5% (120) |  52.5% (120) |  77.8% (108) |  59.0% (468)
anthropic-claude-sonnet-4_think               |   1040 |  52.5% (120) |  52.5% (120) |  55.0% (120) |  52.5% (120) |  53.1% (480)
anthropic-claude-sonnet-4.5                   |   1014 |  50.0% (120) |  50.0% (120) |  50.0% (120) |  44.7% (103) |  48.8% (463)
anthropic-claude-sonnet-4.5_think             |   1040 |  55.0% (120) |  55.0% (120) |  62.5% (120) |  55.0% (120) |  56.9% (480)
anthropic-claude-sonnet-4.6_think             |   1040 |  50.0% (120) |  50.0% (120) |  50.0% (120) |  50.0% (120) |  50.0% (480)
anthropic-claude-opus-4_think                 |   1008 |  51.8% (112) |  53.6% (110) |  50.9% (110) |  53.6% (110) |  52.5% (442)
anthropic-claude-opus-4.6                     |   1040 |  50.0% (120) |  50.0% (120) |  50.0% (120) |  52.5% (120) |  50.6% (480)
anthropic-claude-opus-4.6 (CoT)               |   1040 |  55.0% (120) |  52.5% (120) |  55.0% (120) |  90.0% (120) |  63.1% (480)
anthropic-claude-opus-4.6_think               |   1040 |  95.0% (120) |  72.5% (120) |  82.5% (120) |  97.5% (120) |  86.9% (480)
openai-gpt-4-turbo                            |   1040 |  52.5% (120) |  52.5% (120) |  55.0% (120) |  50.0% (120) |  52.5% (480)
openai-gpt-4.1                                |   1040 |  50.0% (120) |  50.0% (120) |  50.0% (120) |  40.8% (120) |  47.7% (480)
openai-gpt-4.1-mini                           |   1040 |  59.2% (120) |  60.8% (120) |  60.8% (120) |  47.5% (120) |  57.1% (480)
openai-gpt-4o                                 |   1040 |  62.5% (120) |  57.5% (120) |  52.5% (120) |  45.0% (120) |  54.4% (480)
openai-gpt-4o-mini                            |   1040 |  46.7% (120) |  67.5% (120) |  58.3% (120) |  47.5% (120) |  55.0% (480)
openai-gpt-5-chat                             |   1040 |  60.0% (120) |  50.0% (120) |  50.0% (120) |  42.5% (120) |  50.6% (480)
openai-gpt-5-chat (CoT)                       |   1040 |  57.5% (120) |  52.5% (120) |  52.5% (120) |  50.0% (120) |  53.1% (480)
openai-gpt-5-chat (CoT) (lose)                |   1040 |  60.0% (120) |  60.0% (120) |  52.5% (120) |  51.7% (120) |  56.0% (480)
openai-gpt-5.2-chat                           |   1040 |  50.0% (120) |  52.5% (120) |  50.0% (120) |  52.5% (120) |  51.2% (480)
openai-gpt-5.2_lowthink                       |   1040 |  62.5% (120) |  53.3% (120) |  54.2% (120) |  65.8% (120) |  59.0% (480)
openai-gpt-5.2_think                          |   1040 |  72.5% (120) |  62.5% (120) |  65.0% (120) |  71.7% (120) |  67.9% (480)
google-gemini-2.5-pro_think                   |   1037 |  64.1% (117) |  57.5% (120) |  55.0% (120) |  50.8% (120) |  56.8% (477)
google-gemini-3-flash-preview_nothink         |   1040 |  50.0% (120) |  50.0% (120) |  50.0% (120) |  60.0% (120) |  52.5% (480)
google-gemini-3-pro-preview_think             |   1037 |  85.0% (120) |  80.0% (120) |  80.0% (120) |  77.5% (120) |  80.6% (480)
google-gemini-3.1-pro-preview_think           |   1039 |  90.0% (120) |  92.5% (120) |  87.5% (120) | 100.0% (120) |  92.5% (480)
x-ai-grok-3                                   |   1040 |  53.3% (120) |  52.5% (120) |  50.0% (120) |  68.3% (120) |  56.0% (480)
x-ai-grok-4-fast                              |   1040 |  55.0% (120) |  55.0% (120) |  50.0% (120) |  52.5% (120) |  53.1% (480)
deepseek-r1                                   |   1026 |  67.5% (120) |  58.3% (120) |  60.0% (120) |  52.5% (118) |  59.6% (478)
deepseek-chat-v3-0324                         |   1040 |  39.2% (120) |  47.5% (120) |  55.0% (120) |  23.3% (120) |  41.2% (480)
deepseek-chat-v3-0324 (CoT)                   |   1030 |  45.0% (120) |  50.0% (120) |  60.0% (120) |  48.7% (113) |  51.0% (473)
deepseek-chat-v3.1                            |   1040 |  60.0% (120) |  60.0% (120) |  50.8% (120) |  44.2% (120) |  53.8% (480)
deepseek-v3.2                                 |   1040 |  30.0% (120) |   8.3% (120) |  12.5% (120) |   5.0% (120) |  14.0% (480)
kimi-k2-0905                                  |   1040 |  53.3% (120) |  69.2% (120) |  60.0% (120) |  53.3% (120) |  59.0% (480)
kimi-k2-0905 (CoT)                            |   1040 |  50.8% (120) |  41.7% (120) |  53.3% (120) |  47.5% (120) |  48.3% (480)
qwen3-235b-a22b                               |   1040 |  31.7% (120) |  38.3% (120) |  40.8% (120) |  51.7% (120) |  40.6% (480)
qwen3-235b-a22b (CoT)                         |   1040 |  32.5% (120) |  25.8% (120) |  34.2% (120) |  40.0% (120) |  33.1% (480)
qwen3-next-80b-a3b-instruct                   |   1040 |  15.0% (120) |  52.5% (120) |  55.8% (120) |  68.3% (120) |  47.9% (480)
--------------------------------------------------------------------------------------------------------------------------------------------
ALL MODELS                                    |  40458 |  54.2% (4669) |  54.2% (4670) |  54.6% (4670) |  55.1% (4632) |  54.5% (18641)

=== Teammate: Knowledge vs Belief ===
Distinguishing teammate knowledge from belief
Model                                         |      N |             0A |             0B |             1A |             1B |        Overall
--------------------------------------------------------------------------------------------------------------------------------------------
anthropic-claude-3.5-sonnet                   |   1040 |  58.3% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  52.1% (240)
anthropic-claude-3.7-sonnet                   |   1040 |  58.3% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  50.0% ( 60) |  52.1% (240)
anthropic-claude-3.7-sonnet:thinking          |   1040 |  93.3% ( 60) |  91.7% ( 60) |  88.3% ( 60) |  88.3% ( 60) |  90.4% (240)
anthropic-claude-sonnet-4                     |   1027 |  76.7% ( 60) |  63.3% ( 60) |  61.7% ( 60) |  50.0% ( 60) |  62.9% (240)
anthropic-claude-sonnet-4_think               |   1040 | 100.0% ( 60) | 100.0% ( 60) | 100.0% ( 60) |  88.3% ( 60) |  97.1% (240)
anthropic-claude-sonnet-4.5                   |   1014 |  86.7% ( 60) |  93.3% ( 60) |  90.0% ( 60) |  75.0% ( 60) |  86.2% (240)
anthropic-claude-sonnet-4.5_think             |   1040 | 100.0% ( 60) | 100.0% ( 60) | 100.0% ( 60) |  98.3% ( 60) |  99.6% (240)
anthropic-claude-sonnet-4.6_think             |   1040 |  76.7% ( 60) |  80.0% ( 60) |  85.0% ( 60) |  60.0% ( 60) |  75.4% (240)
anthropic-claude-opus-4_think                 |   1008 | 100.0% ( 60) | 100.0% ( 60) | 100.0% ( 60) |  96.7% ( 60) |  99.2% (240)
anthropic-claude-opus-4.6                     |   1040 |  98.3% ( 60) |  98.3% ( 60) |  96.7% ( 60) |  71.7% ( 60) |  91.2% (240)
anthropic-claude-opus-4.6 (CoT)               |   1040 | 100.0% ( 60) | 100.0% ( 60) | 100.0% ( 60) |  98.3% ( 60) |  99.6% (240)
anthropic-claude-opus-4.6_think               |   1040 | 100.0% ( 60) | 100.0% ( 60) |  98.3% ( 60) | 100.0% ( 60) |  99.6% (240)
openai-gpt-4-turbo                            |   1040 |  85.0% ( 60) |  96.7% ( 60) |  98.3% ( 60) |  48.3% ( 60) |  82.1% (240)
openai-gpt-4.1                                |   1040 |  58.3% ( 60) |  66.7% ( 60) |  58.3% ( 60) |  63.3% ( 60) |  61.7% (240)
