ToM MASTERY SCORES BY CATEGORY (Overall)
==============================================================================================================================================================================================
Model                                         |      N |    Self: Knowledge |    Teammate: Knowl |    Combined Uncert |    True vs False B |    Teammate vs Opp |     Strategic Lies |   TM vs Opp (lies)
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
anthropic-claude-opus-4.5                     |    780 |   50.0% ( 240) |   90.8% ( 120) |   50.0% (  80) |   65.0% ( 120) |   79.5% ( 200) |   49.2% ( 120) |   80.0% ( 200)
anthropic-claude-opus-4.6                     |    156 |   50.0% (  48) |   95.8% (  24) |   50.0% (  16) |   66.7% (  24) |   70.0% (  40) |   33.3% (  24) |   70.0% (  40)
anthropic-claude-opus-4.6 (with COT)          |    780 |   60.0% ( 240) |  100.0% ( 120) |   50.0% (  80) |  100.0% ( 120) |   84.0% ( 200) |   57.5% ( 120) |   84.0% ( 200)
anthropic-claude-opus-4.6_think               |    780 |   78.8% ( 240) |  100.0% ( 120) |   50.0% (  80) |   99.2% ( 120) |   91.5% ( 200) |   52.5% ( 120) |   91.5% ( 200)
deepseek-V3.2                                 |   1560 |    4.4% ( 480) |   48.3% ( 240) |    0.0% ( 160) |   48.3% ( 240) |   30.8% ( 400) |    0.8% ( 240) |   44.0% ( 400)
deepseek-V3.2 (with COT)                      |   1543 |   19.2% ( 474) |   53.3% ( 240) |   25.2% ( 159) |   54.0% ( 239) |   47.4% ( 399) |   25.7% ( 237) |   56.4% ( 399)
deepseek-V3.2_think                           |    301 |   60.4% (  96) |  100.0% (  48) |   46.9% (  32) |   87.5% (  48) |   84.6% (  78) |   53.2% (  47) |   84.6% (  78)
deepseek-chat-V3.1                            |    156 |   52.1% (  48) |   66.7% (  24) |   62.5% (  16) |   50.0% (  24) |   62.5% (  40) |   33.3% (  24) |   65.0% (  40)
deepseek-chat-v3.1                            |   3120 |   52.1% ( 960) |   68.3% ( 480) |   47.8% ( 320) |   55.6% ( 480) |   56.4% ( 800) |   20.0% ( 480) |   59.0% ( 800)
deepseek-chat-v3.1 (with COT)                 |   1560 |   48.8% ( 480) |   83.3% ( 240) |   43.1% ( 160) |   80.4% ( 240) |   73.0% ( 400) |   75.0% ( 240) |   81.2% ( 400)
hermes-4-70b                                  |   1560 |   49.4% ( 480) |    0.0% ( 240) |    3.1% ( 160) |    0.0% ( 240) |   19.2% ( 400) |    0.0% ( 240) |   19.2% ( 400)
hermes-4-70b (with COT)                       |   1560 |   64.0% ( 480) |   15.4% ( 240) |   39.4% ( 160) |    2.5% ( 240) |   10.8% ( 400) |    0.0% ( 240) |   10.8% ( 400)
kimi-k2-0905                                  |   1560 |   42.5% ( 480) |   38.8% ( 240) |    1.2% ( 160) |   38.8% ( 240) |   35.5% ( 400) |    0.0% ( 240) |   38.8% ( 400)
kimi-k2-0905 (with COT)                       |    156 |   29.2% (  48) |    0.0% (  24) |    0.0% (  16) |    0.0% (  24) |   10.0% (  40) |    0.0% (  24) |   10.0% (  40)
kimi-k2-thinking                              |    747 |   50.7% ( 223) |  100.0% ( 118) |   51.2% (  80) |   92.0% ( 113) |   79.6% ( 196) |   66.7% ( 114) |   81.1% ( 196)
llama-3.1-70b-instruct                        |   3120 |   58.1% ( 960) |    3.1% ( 480) |   14.1% ( 320) |    1.7% ( 480) |   18.0% ( 800) |    0.6% ( 480) |   19.6% ( 800)
