ToM MASTERY SCORES BY CATEGORY (Overall)
==============================================================================================================================================================================================
Model                                         |      N |    Self: Knowledge |    Teammate: Knowl |    Combined Uncert |    True vs False B |    Teammate vs Opp |     Strategic Lies |   TM vs Opp (lies)
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
anthropic-claude-3.5-sonnet                   |   1040 |   53.8% ( 480) |   52.1% ( 240) |   21.2% ( 160) |   51.7% ( 240) |   37.8% ( 400) |    2.1% ( 240) |   46.8% ( 400)
anthropic-claude-3.7-sonnet                   |   1040 |   54.8% ( 480) |   52.1% ( 240) |   33.8% ( 160) |   52.1% ( 240) |   42.2% ( 400) |    0.0% ( 240) |   43.2% ( 400)
anthropic-claude-3.7-sonnet:thinking          |   1040 |   51.5% ( 480) |   90.4% ( 240) |   60.6% ( 160) |   75.0% ( 240) |   69.2% ( 400) |   54.6% ( 240) |   78.5% ( 400)
anthropic-claude-sonnet-4                     |   1027 |   59.0% ( 468) |   62.9% ( 240) |   36.4% ( 151) |   50.8% ( 240) |   38.9% ( 396) |    0.0% ( 240) |   46.0% ( 396)
anthropic-claude-sonnet-4_think               |   1040 |   53.1% ( 480) |   97.1% ( 240) |   65.6% ( 160) |   94.2% ( 240) |   79.2% ( 400) |   59.2% ( 240) |   80.8% ( 400)
anthropic-claude-sonnet-4.5                   |   1014 |   48.8% ( 463) |   86.2% ( 240) |   55.1% ( 156) |   53.3% ( 240) |   46.1% ( 395) |    4.3% ( 230) |   63.3% ( 395)
anthropic-claude-sonnet-4.5_think             |   1040 |   56.9% ( 480) |   99.6% ( 240) |   63.1% ( 160) |   99.2% ( 240) |   82.2% ( 400) |   67.1% ( 240) |   82.8% ( 400)
anthropic-claude-sonnet-4.6_think             |   1040 |   50.0% ( 480) |   75.4% ( 240) |   50.0% ( 160) |   61.3% ( 240) |   48.0% ( 400) |    2.1% ( 240) |   49.5% ( 400)
anthropic-claude-opus-4_think                 |   1008 |   52.5% ( 442) |   99.2% ( 240) |   63.2% ( 152) |   99.6% ( 231) |   81.4% ( 392) |   65.4% ( 240) |   82.1% ( 392)
anthropic-claude-opus-4.6                     |   1040 |   50.6% ( 480) |   91.2% ( 240) |   76.2% ( 160) |   58.8% ( 240) |   59.2% ( 400) |   16.7% ( 240) |   61.8% ( 400)
anthropic-claude-opus-4.6 (CoT)               |   1040 |   63.1% ( 480) |   99.6% ( 240) |   61.3% ( 160) |   93.8% ( 240) |   84.8% ( 400) |   58.8% ( 240) |   84.8% ( 400)
anthropic-claude-opus-4.6_think               |   1040 |   86.9% ( 480) |   99.6% ( 240) |   53.8% ( 160) |   98.8% ( 240) |   94.5% ( 400) |   53.8% ( 240) |   94.5% ( 400)
openai-gpt-4-turbo                            |   1040 |   52.5% ( 480) |   82.1% ( 240) |   74.4% ( 160) |   61.3% ( 240) |   76.2% ( 400) |   45.4% ( 240) |   76.2% ( 400)
openai-gpt-4.1                                |   1040 |   47.7% ( 480) |   61.7% ( 240) |   91.2% ( 160) |   54.2% ( 240) |   58.0% ( 400) |   50.0% ( 240) |   58.0% ( 400)
openai-gpt-4.1-mini                           |   1040 |   57.1% ( 480) |   28.7% ( 240) |    5.0% ( 160) |   25.8% ( 240) |   35.0% ( 400) |    0.4% ( 240) |   38.2% ( 400)
openai-gpt-4o                                 |   1040 |   54.4% ( 480) |   79.2% ( 240) |   74.4% ( 160) |   71.7% ( 240) |   68.5% ( 400) |   35.8% ( 240) |   68.5% ( 400)
openai-gpt-4o-mini                            |   1040 |   55.0% ( 480) |   39.2% ( 240) |   51.9% ( 160) |   42.5% ( 240) |   66.5% ( 400) |   47.5% ( 240) |   66.5% ( 400)
openai-gpt-5-chat                             |   1040 |   50.6% ( 480) |   82.1% ( 240) |   56.9% ( 160) |   67.5% ( 240) |   72.5% ( 400) |   42.9% ( 240) |   73.0% ( 400)
openai-gpt-5-chat (CoT)                       |   1040 |   53.1% ( 480) |   92.9% ( 240) |   62.5% ( 160) |   91.7% ( 240) |   73.8% ( 400) |   77.5% ( 240) |   80.5% ( 400)
openai-gpt-5-chat (CoT) (lose)                |   1040 |   56.0% ( 480) |   94.2% ( 240) |   63.7% ( 160) |   90.8% ( 240) |   75.0% ( 400) |   84.2% ( 240) |   82.0% ( 400)
openai-gpt-5.2-chat                           |   1040 |   51.2% ( 480) |   99.2% ( 240) |   67.5% ( 160) |   99.2% ( 240) |   77.2% ( 400) |   64.6% ( 240) |   78.8% ( 400)
openai-gpt-5.2_lowthink                       |   1040 |   59.0% ( 480) |   72.5% ( 240) |   44.4% ( 160) |   66.2% ( 240) |   51.0% ( 400) |   53.8% ( 240) |   83.2% ( 400)
openai-gpt-5.2_think                          |   1040 |   67.9% ( 480) |   90.8% ( 240) |   41.9% ( 160) |   76.7% ( 240) |   75.5% ( 400) |   66.2% ( 240) |   85.0% ( 400)
google-gemini-2.5-pro_think                   |   1037 |   56.8% ( 477) |   75.8% ( 240) |   41.9% ( 160) |   56.9% ( 239) |   46.1% ( 399) |   27.6% ( 239) |   62.2% ( 399)
google-gemini-3-flash-preview_nothink         |   1040 |   52.5% ( 480) |   82.1% ( 240) |   63.7% ( 160) |   62.5% ( 240) |   43.5% ( 400) |    0.0% ( 240) |   47.0% ( 400)
google-gemini-3-pro-preview_think             |   1037 |   80.6% ( 480) |  100.0% ( 240) |   61.9% ( 160) |  100.0% ( 240) |   92.2% ( 397) |   60.7% ( 239) |   92.2% ( 397)
google-gemini-3.1-pro-preview_think           |   1039 |   92.5% ( 480) |   99.6% ( 239) |   60.6% ( 160) |  100.0% ( 239) |   97.0% ( 399) |   53.8% ( 240) |   97.0% ( 399)
x-ai-grok-3                                   |   1040 |   56.0% ( 480) |   50.0% ( 240) |   36.2% ( 160) |   50.0% ( 240) |   40.8% ( 400) |    0.4% ( 240) |   41.5% ( 400)
