Model                                         | Scenario |        Extra |    N |   Accuracy
------------------------------------------------------------------------------------------
anthropic-claude-opus-4.6_think               |        7 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6_think               |        7 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |        7 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6_think               |        7 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |        8 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6_think               |        8 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |        8 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6_think               |        8 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |        9 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6_think               |        9 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |        9 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6_think               |        9 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       10 |   Min Events |   10 |      80.0%
anthropic-claude-opus-4.6_think               |       10 |   Event Load |   10 |      80.0%
anthropic-claude-opus-4.6_think               |       10 |      Min ECT |   10 |      80.0%
anthropic-claude-opus-4.6_think               |       10 |     ECT Load |   10 |      20.0%
anthropic-claude-opus-4.6_think               |       11 |   Min Events |   10 |      70.0%
anthropic-claude-opus-4.6_think               |       11 |   Event Load |   10 |      70.0%
anthropic-claude-opus-4.6_think               |       11 |      Min ECT |   10 |      60.0%
anthropic-claude-opus-4.6_think               |       11 |     ECT Load |   10 |      50.0%
anthropic-claude-opus-4.6_think               |       12 |   Min Events |   10 |      80.0%
anthropic-claude-opus-4.6_think               |       12 |   Event Load |   10 |      10.0%
anthropic-claude-opus-4.6_think               |       12 |      Min ECT |   10 |      20.0%
anthropic-claude-opus-4.6_think               |       12 |     ECT Load |   10 |      90.0%
anthropic-claude-opus-4.6_think               |       13 |   Min Events |   10 |      90.0%
anthropic-claude-opus-4.6_think               |       13 |   Event Load |   10 |      90.0%
anthropic-claude-opus-4.6_think               |       13 |      Min ECT |   10 |      90.0%
anthropic-claude-opus-4.6_think               |       13 |     ECT Load |   10 |      90.0%
anthropic-claude-opus-4.6_think               |       14 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       14 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       14 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       14 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       15 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       15 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       15 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       15 |     ECT Load |   10 |      90.0%
anthropic-claude-opus-4.6_think               |       16 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       16 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       16 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       16 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       17 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       17 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       17 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       17 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       18 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       18 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       18 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       18 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       19 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       19 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       19 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       19 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       20 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       20 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       20 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       20 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       21 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       21 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       21 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       21 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       22 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       22 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       22 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       22 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       23 |   Min Events |   10 |       0.0%
anthropic-claude-opus-4.6_think               |       23 |   Event Load |   10 |       0.0%
anthropic-claude-opus-4.6_think               |       23 |      Min ECT |   10 |       0.0%
anthropic-claude-opus-4.6_think               |       23 |     ECT Load |   10 |       0.0%
anthropic-claude-opus-4.6_think               |       24 |   Min Events |   10 |      70.0%
anthropic-claude-opus-4.6_think               |       24 |   Event Load |   10 |      70.0%
anthropic-claude-opus-4.6_think               |       24 |      Min ECT |   10 |      60.0%
anthropic-claude-opus-4.6_think               |       24 |     ECT Load |   10 |      70.0%
anthropic-claude-opus-4.6_think               |       27 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       27 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       27 |      Min ECT |   10 |      90.0%
anthropic-claude-opus-4.6_think               |       27 |     ECT Load |   10 |      60.0%
anthropic-claude-opus-4.6_think               |       28 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       28 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       28 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       28 |     ECT Load |   10 |      80.0%
anthropic-claude-opus-4.6_think               |       29 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       29 |   Event Load |   10 |      90.0%
anthropic-claude-opus-4.6_think               |       29 |      Min ECT |   10 |      80.0%
anthropic-claude-opus-4.6_think               |       29 |     ECT Load |   10 |      40.0%
anthropic-claude-opus-4.6_think               |       30 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       30 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       30 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       30 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       31 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       31 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       31 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       31 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.6_think               |       32 |   Min Events |   10 |     100.0%
