Scenario   |        Extra |      N |   Accuracy
--------------------------------------------------
4          |   Min Events |     24 |       0.0%
4          |     ECT Load |     25 |       0.0%
5          |     ECT Load |     24 |       0.0%
11         |     ECT Load |     24 |       0.0%
14         |   Min Events |     24 |       0.0%
14         |   Event Load |     25 |       0.0%
14         |      Min ECT |     24 |       0.0%
14         |     ECT Load |     24 |       0.0%
15         |   Min Events |     24 |       0.0%
15         |   Event Load |     24 |       0.0%
15         |      Min ECT |     25 |       0.0%
15         |     ECT Load |     24 |       0.0%
16         |   Min Events |     24 |       0.0%
16         |      Min ECT |     24 |       0.0%
16         |     ECT Load |     25 |       0.0%
20         |   Min Events |     24 |       0.0%
20         |   Event Load |     24 |       0.0%
20         |      Min ECT |     24 |       0.0%
20         |     ECT Load |     25 |       0.0%
21         |   Min Events |     25 |       0.0%
21         |      Min ECT |     24 |       0.0%
21         |     ECT Load |     24 |       0.0%
22         |      Min ECT |     24 |       0.0%
22         |     ECT Load |     24 |       0.0%
23         |   Min Events |     24 |       0.0%
23         |   Event Load |     24 |       0.0%
23         |     ECT Load |     24 |       0.0%
24         |   Min Events |     24 |       0.0%
24         |   Event Load |     24 |       0.0%
24         |      Min ECT |     24 |       0.0%
24         |     ECT Load |     25 |       0.0%
25         |   Event Load |     24 |       0.0%
25         |      Min ECT |     24 |       0.0%
25         |     ECT Load |     24 |       0.0%
26         |   Min Events |     24 |       0.0%
26         |      Min ECT |     24 |       0.0%
26         |     ECT Load |     24 |       0.0%
27         |   Min Events |     24 |       0.0%
29         |   Event Load |     24 |       0.0%
35         |   Min Events |     24 |       0.0%
35         |   Event Load |     24 |       0.0%
37         |   Event Load |     24 |       0.0%
37         |      Min ECT |     24 |       0.0%
39         |   Min Events |     24 |       0.0%
40         |     ECT Load |      1 |       0.0%
42         |   Event Load |      1 |       0.0%
43         |      Min ECT |      1 |       0.0%
44         |     ECT Load |      1 |       0.0%
45         |   Min Events |      1 |       0.0%
46         |   Event Load |      1 |       0.0%
47         |      Min ECT |      1 |       0.0%
49         |   Min Events |      1 |       0.0%
50         |   Event Load |      1 |       0.0%
51         |      Min ECT |      1 |       0.0%
53         |   Min Events |      1 |       0.0%
54         |   Event Load |      1 |       0.0%
55         |      Min ECT |      1 |       0.0%
