Scenario Accuracy by Load Condition
====================================================================================================
Scenario   |           0A (N) |           0B (N) |           1A (N) |           1B (N)
----------------------------------------------------------------------------------------------------
7          |   81.4% ( 247) |   85.8% ( 247) |   84.6% ( 246) |   70.2% ( 245)
8          |   73.0% ( 244) |   80.2% ( 248) |   79.8% ( 248) |   70.8% ( 243)
9          |   84.3% ( 248) |   85.8% ( 247) |   85.4% ( 246) |   62.7% ( 241)
10         |   67.1% ( 246) |   68.6% ( 245) |   75.9% ( 241) |   55.8% ( 231)
11         |   70.4% ( 247) |   67.1% ( 243) |   67.9% ( 243) |   59.2% ( 245)
12         |   26.7% ( 247) |   18.8% ( 245) |   21.1% ( 247) |   44.7% ( 237)
13         |   26.1% ( 241) |   22.4% ( 245) |   25.5% ( 247) |   38.5% ( 244)
14         |   41.3% ( 242) |   43.0% ( 244) |   42.7% ( 241) |   27.1% ( 240)
15         |   42.7% ( 241) |   34.2% ( 240) |   35.8% ( 240) |   36.0% ( 242)
16         |   37.6% ( 242) |   41.7% ( 240) |   43.6% ( 241) |   30.8% ( 240)
17         |   90.9% ( 241) |   93.8% ( 241) |   89.6% ( 240) |   89.3% ( 243)
18         |   93.8% ( 240) |   94.6% ( 240) |   92.9% ( 240) |   90.0% ( 241)
19         |   88.9% ( 244) |   92.9% ( 240) |   92.5% ( 241) |   94.2% ( 241)
20         |   63.2% ( 247) |   58.0% ( 243) |   57.2% ( 243) |   37.3% ( 241)
21         |   55.3% ( 246) |   55.7% ( 246) |   54.2% ( 249) |   43.0% ( 242)
22         |   55.7% ( 244) |   57.0% ( 242) |   52.7% ( 245) |   36.9% ( 241)
23         |    2.9% ( 241) |    3.3% ( 240) |    2.9% ( 240) |    3.8% ( 240)
24         |   34.4% ( 244) |   33.7% ( 243) |   32.8% ( 241) |   25.4% ( 240)
27         |   46.5% ( 245) |   35.4% ( 243) |   35.8% ( 240) |   17.4% ( 241)
28         |   35.7% ( 244) |   31.8% ( 242) |   31.5% ( 241) |   23.8% ( 239)
29         |   45.3% ( 243) |   36.1% ( 244) |   38.4% ( 242) |   18.0% ( 239)
30         |   39.2% ( 240) |   38.6% ( 241) |   38.8% ( 242) |   40.0% ( 240)
31         |   36.8% ( 239) |   36.4% ( 242) |   43.2% ( 243) |   38.2% ( 241)
32         |   40.7% ( 241) |   41.1% ( 241) |   40.2% ( 241) |   39.1% ( 238)
37         |   63.9% ( 244) |   58.6% ( 244) |   61.1% ( 247) |   45.6% ( 239)
39         |   62.8% ( 247) |   58.1% ( 246) |   57.6% ( 245) |   38.8% ( 242)
====================================================================================================
