scenario,mistral-large-2512
scenario_1,16.7
scenario_2,33.3
scenario_3,16.7
scenario_4,50.0
scenario_5,50.0
scenario_6,0.0
scenario_7,50.0
scenario_8,16.7
scenario_9,16.7
scenario_10,50.0
scenario_11,16.7
scenario_12,16.7
scenario_13,0.0
scenario_14,16.7
scenario_15,0.0
scenario_16,0.0
scenario_17,100.0
scenario_18,100.0
scenario_19,100.0
scenario_20,20.0
scenario_21,0.0
scenario_22,0.0
scenario_23,0.0
scenario_24,0.0
scenario_25,0.0
scenario_26,0.0
scenario_27,0.0
scenario_28,20.0
scenario_29,40.0
scenario_30,0.0
scenario_31,0.0
scenario_32,20.0
scenario_33,20.0
scenario_34,0.0
scenario_35,0.0
scenario_36,0.0
scenario_37,0.0
scenario_38,0.0
scenario_39,20.0
