scenario,anthropic-claude-opus-4.5,anthropic-claude-opus-4.5_think,deepseek-chat-v3.1,openai-gpt-5-chat,openai-gpt-5.2,openai-gpt-5.2_think,openai-gpt-5_lowthink,openai-gpt-5_think
scenario_1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0
scenario_2,100.0,100.0,100.0,100.0,70.0,95.0,100.0,100.0
scenario_3,100.0,100.0,100.0,100.0,95.0,95.0,100.0,90.0
scenario_4,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0
scenario_5,100.0,100.0,100.0,100.0,85.0,100.0,100.0,100.0
scenario_6,100.0,100.0,100.0,100.0,90.0,95.0,100.0,100.0
scenario_7,100.0,100.0,100.0,100.0,90.0,95.0,100.0,50.0
scenario_8,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0
scenario_9,100.0,100.0,100.0,100.0,100.0,95.0,100.0,40.0
scenario_10,75.0,70.0,100.0,80.0,40.0,70.0,90.0,70.0
scenario_11,90.0,85.0,100.0,90.0,50.0,100.0,100.0,50.0
scenario_12,10.0,15.0,0.0,20.0,40.0,25.0,10.0,40.0
scenario_13,20.0,35.0,0.0,30.0,55.0,15.0,40.0,60.0
scenario_14,0.0,100.0,0.0,0.0,0.0,45.0,40.0,50.0
scenario_15,0.0,100.0,0.0,10.0,0.0,30.0,70.0,70.0
scenario_16,0.0,95.0,0.0,10.0,0.0,20.0,60.0,40.0
scenario_17,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0
scenario_18,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
scenario_19,100.0,100.0,81.8,80.0,100.0,100.0,90.0,100.0
scenario_20,70.0,90.0,100.0,100.0,0.0,75.0,100.0,100.0
scenario_21,55.0,100.0,72.7,90.0,0.0,55.0,100.0,100.0
scenario_22,65.0,75.0,100.0,100.0,5.0,75.0,100.0,100.0
scenario_23,35.0,85.0,54.5,70.0,0.0,60.0,80.0,70.0
scenario_24,35.0,75.0,90.9,50.0,0.0,50.0,100.0,100.0
scenario_25,85.0,100.0,90.9,90.0,0.0,80.0,100.0,90.0
scenario_26,65.0,100.0,100.0,100.0,0.0,75.0,100.0,90.0
scenario_27,40.0,100.0,100.0,90.0,0.0,45.0,50.0,80.0
scenario_28,10.0,100.0,45.5,80.0,0.0,15.0,80.0,90.0
scenario_29,20.0,100.0,100.0,90.0,0.0,35.0,50.0,80.0
scenario_30,20.0,100.0,45.5,100.0,0.0,40.0,80.0,100.0
scenario_31,50.0,100.0,0.0,100.0,0.0,40.0,100.0,100.0
scenario_32,55.0,100.0,18.2,100.0,0.0,75.0,90.0,100.0
scenario_33,75.0,100.0,100.0,100.0,0.0,60.0,80.0,100.0
scenario_34,60.0,100.0,63.6,100.0,0.0,55.0,100.0,100.0
scenario_35,50.0,100.0,100.0,100.0,0.0,75.0,80.0,100.0
scenario_36,60.0,100.0,72.7,90.0,0.0,45.0,80.0,90.0
scenario_37,95.0,100.0,100.0,100.0,5.0,70.0,100.0,90.0
scenario_38,40.0,100.0,81.8,90.0,0.0,55.0,90.0,70.0
scenario_39,90.0,100.0,100.0,100.0,0.0,70.0,100.0,90.0
