================================================================================
SELF-REFERENCE ANALYSIS
================================================================================

Model: anthropic-claude-opus-4.6_think
------------------------------------------------------------
  Total traces: 208

  Reference Style Distribution:
    I_only    :  113 ( 54.3%)
    A_only    :    0 (  0.0%)
    mixed     :   93 ( 44.7%)
    neither   :    2 (  1.0%)

  Accuracy by Reference Style:
    Style       Count   Correct   Accuracy
    ----------  ------  --------  --------
    I_only         113       103     91.2%
    A_only           0         0      0.0%
    mixed           93        82     88.2%
    neither          2         2    100.0%

  Average References per Trace:
    'I' references: 7.0
    'A' references: 0.8

  By Extra Category:
    Extra   I_only          Mixed           Total
    -----   -------------   -------------   -----
    0A      33/35           15/16           52
    0B      24/26           23/26           52
    1A      24/27           23/24           52
    1B      22/25           21/27           52

  Scenarios with Mixed References (I + A):
    ID    Mixed (corr/tot)   I_only (corr/tot)   Diff
    ----  -----------------  ------------------  -----
    7     2/2 (100%)         6/6 (100%)          +0%
    8     3/3 (100%)         5/5 (100%)          +0%
    9     2/2 (100%)         6/6 (100%)          +0%
    10    4/5 (80%)          3/3 (100%)          -20%
    11    1/2 (50%)          6/6 (100%)          -50%
    12    2/5 (40%)          3/3 (100%)          -60%
    14    3/3 (100%)         5/5 (100%)          +0%
    15    6/6 (100%)         1/2 (50%)           +50%
    16    2/2 (100%)         6/6 (100%)          +0%
    17    3/3 (100%)         5/5 (100%)          +0%
    18    2/2 (100%)         6/6 (100%)          +0%
    19    6/6 (100%)         2/2 (100%)          +0%
    20    4/4 (100%)         4/4 (100%)          +0%
    21    5/5 (100%)         3/3 (100%)          +0%
    22    2/2 (100%)         4/4 (100%)          +0%
    23    0/5 (0%)           0/3 (0%)            +0%
    24    0/1 (0%)           4/7 (57%)           -57%
    27    4/4 (100%)         3/4 (75%)           +25%
    28    5/5 (100%)         3/3 (100%)          +0%
    29    6/6 (100%)         1/2 (50%)           +50%
    30    3/3 (100%)         5/5 (100%)          +0%
    31    3/3 (100%)         5/5 (100%)          +0%
    32    4/4 (100%)         4/4 (100%)          +0%
    37    5/5 (100%)         3/3 (100%)          +0%
    39    5/5 (100%)         3/3 (100%)          +0%

  Scenario × Extra (cells with mixed references):
    ID    Extra  Mixed           I_only          Diff
    ----  -----  --------------  --------------  -----
    7     1B     2/2             -               n/a
    8     0B     1/1             1/1             +0%
    8     1B     2/2             -               n/a
    9     1B     2/2             -               n/a
    10    0A     1/1             1/1             +0%
    10    0B     1/1             1/1             +0%
    10    1A     1/1             1/1             +0%
    10    1B     1/2             -               n/a
    11    1A     1/1             1/1             +0%
    11    1B     0/1             1/1             -100%
    12    0B     0/2             -               n/a
    12    1A     1/1             1/1             +0%
    12    1B     1/2             -               n/a
    14    0B     1/1             1/1             +0%
    14    1A     1/1             1/1             +0%
    14    1B     1/1             1/1             +0%
    15    0A     2/2             -               n/a
    15    0B     2/2             -               n/a
    15    1A     1/1             1/1             +0%
    15    1B     1/1             0/1             +100%
    16    1A     1/1             1/1             +0%
    16    1B     1/1             1/1             +0%
    17    0B     1/1             1/1             +0%
    17    1A     1/1             1/1             +0%
    17    1B     1/1             1/1             +0%
    18    0B     1/1             1/1             +0%
    18    1A     1/1             1/1             +0%
    19    0A     2/2             -               n/a
    19    0B     2/2             -               n/a
    19    1A     2/2             -               n/a
    20    0B     1/1             1/1             +0%
    20    1A     1/1             1/1             +0%
    20    1B     2/2             -               n/a
    21    0A     1/1             1/1             +0%
    21    0B     2/2             -               n/a
    21    1A     2/2             -               n/a
    22    0B     2/2             -               n/a
    23    0A     0/1             0/1             +0%
    23    0B     0/1             0/1             +0%
    23    1A     0/1             0/1             +0%
    23    1B     0/2             -               n/a
    24    1B     0/1             1/1             -100%
    27    0A     1/1             1/1             +0%
    27    0B     2/2             -               n/a
    27    1A     1/1             1/1             +0%
    28    0A     1/1             1/1             +0%
    28    0B     2/2             -               n/a
    28    1A     1/1             1/1             +0%
    28    1B     1/1             1/1             +0%
    29    0A     2/2             -               n/a
    29    0B     1/1             1/1             +0%
    29    1A     2/2             -               n/a
    29    1B     1/1             0/1             +100%
    30    0A     1/1             1/1             +0%
    30    1A     2/2             -               n/a
    31    1A     1/1             1/1             +0%
    31    1B     2/2             -               n/a
    32    0A     2/2             -               n/a
    32    0B     1/1             1/1             +0%
    32    1B     1/1             1/1             +0%
    37    0A     2/2             -               n/a
    37    0B     2/2             -               n/a
    37    1A     1/1             1/1             +0%
    39    0B     1/1             1/1             +0%
    39    1A     2/2             -               n/a
    39    1B     2/2             -               n/a
