
Model                                    |     N |      Overall |   Min Events |   Event Load |      Min ECT |     ECT Load
----------------------------------------------------------------------------------------------------------------------------------
anthropic-claude-opus-4.5                |   780 |  80.3% (± 2.8) |  77.9% (± 5.8) |  84.1% (± 5.1) |  81.5% (± 5.4) |  77.4% (± 5.8)
anthropic-claude-opus-4.5 (lies ok)      |   780 |  81.7% (± 2.7) |  81.0% (± 5.5) |  85.1% (± 5.0) |  83.1% (± 5.3) |  77.4% (± 5.8)
anthropic-claude-opus-4.6                |   156 |  75.6% (± 6.7) |  71.8% (±13.6) |  76.9% (±12.8) |  82.1% (±11.8) |  71.8% (±13.6)
anthropic-claude-opus-4.6 (lies ok)      |   156 |  78.2% (± 6.4) |  74.4% (±13.3) |  76.9% (±12.8) |  87.2% (±10.6) |  74.4% (±13.3)
anthropic-claude-opus-4.6 (with COT)     |   780 |  89.2% (± 2.2) |  90.3% (± 4.2) |  89.7% (± 4.3) |  88.7% (± 4.5) |  88.2% (± 4.5)
anthropic-claude-opus-4.6 (with COT) (lies ok) |   780 |  90.5% (± 2.1) |  90.3% (± 4.2) |  90.3% (± 4.2) |  89.7% (± 4.3) |  91.8% (± 3.9)
anthropic-claude-opus-4.6_think          |   780 |  92.1% (± 1.9) |  93.3% (± 3.6) |  90.3% (± 4.2) |  92.3% (± 3.8) |  92.3% (± 3.8)
anthropic-claude-opus-4.6_think (lies ok) |   780 |  92.4% (± 1.9) |  93.3% (± 3.6) |  90.8% (± 4.1) |  92.3% (± 3.8) |  93.3% (± 3.6)
deepseek-V3.2                            |  1560 |   7.9% (± 1.3) |   7.7% (± 2.7) |   8.2% (± 2.7) |   8.2% (± 2.7) |   7.4% (± 2.6)
deepseek-V3.2 (lies ok)                  |  1560 |  14.4% (± 1.7) |  13.1% (± 3.3) |  13.6% (± 3.4) |  15.1% (± 3.6) |  15.6% (± 3.6)
deepseek-V3.2 (with COT)                 |  1543 |  27.5% (± 2.2) |  18.0% (± 3.8) |  35.7% (± 4.7) |  22.1% (± 4.1) |  34.3% (± 4.8)
deepseek-V3.2 (with COT) (lies ok)       |  1543 |  32.1% (± 2.3) |  20.8% (± 4.0) |  40.9% (± 4.9) |  26.2% (± 4.4) |  41.0% (± 4.9)
deepseek-V3.2_think                      |   301 |  84.1% (± 4.1) |  86.7% (± 7.7) |  85.3% (± 8.0) |  85.1% (± 8.1) |  79.2% (± 9.0)
deepseek-V3.2_think (lies ok)            |   301 |  84.4% (± 4.1) |  88.0% (± 7.4) |  85.3% (± 8.0) |  85.1% (± 8.1) |  79.2% (± 9.0)
deepseek-chat-V3.1                       |   156 |  59.6% (± 7.6) |  69.2% (±13.9) |  61.5% (±14.6) |  53.8% (±14.9) |  53.8% (±14.9)
deepseek-chat-V3.1 (lies ok)             |   156 |  60.3% (± 7.6) |  69.2% (±13.9) |  61.5% (±14.6) |  53.8% (±14.9) |  56.4% (±14.9)
deepseek-chat-v3.1                       |  3120 |  57.1% (± 1.7) |  65.8% (± 3.3) |  63.8% (± 3.4) |  50.9% (± 3.5) |  48.1% (± 3.5)
