ToM MASTERY: Teammate vs Opponent
Treating teammate differently from opponent
============================================================================================================================================
Model                                         |      N |             0A |             0B |             1A |             1B |        Overall
--------------------------------------------------------------------------------------------------------------------------------------------
anthropic-claude-opus-4.5                     |    780 |  78.0% ( 50) |  80.0% ( 50) |  80.0% ( 50) |  80.0% ( 50) |  79.5% (200)
anthropic-claude-opus-4.6                     |    156 |  60.0% ( 10) |  70.0% ( 10) |  80.0% ( 10) |  70.0% ( 10) |  70.0% ( 40)
anthropic-claude-opus-4.6 (with COT)          |    780 |  82.0% ( 50) |  82.0% ( 50) |  80.0% ( 50) |  92.0% ( 50) |  84.0% (200)
anthropic-claude-opus-4.6_think               |    780 |  94.0% ( 50) |  86.0% ( 50) |  90.0% ( 50) |  96.0% ( 50) |  91.5% (200)
deepseek-V3.2                                 |   1560 |  30.0% (100) |  32.0% (100) |  32.0% (100) |  29.0% (100) |  30.8% (400)
deepseek-V3.2 (with COT)                      |   1543 |  37.0% (100) |  59.0% (100) |  43.4% ( 99) |  50.0% (100) |  47.4% (399)
deepseek-V3.2_think                           |    301 |  89.5% ( 19) |  80.0% ( 20) |  89.5% ( 19) |  80.0% ( 20) |  84.6% ( 78)
deepseek-chat-V3.1                            |    156 |  40.0% ( 10) |  80.0% ( 10) |  80.0% ( 10) |  50.0% ( 10) |  62.5% ( 40)
deepseek-chat-v3.1                            |   3120 |  49.5% (200) |  69.0% (200) |  53.0% (200) |  54.0% (200) |  56.4% (800)
deepseek-chat-v3.1 (with COT)                 |   1560 |  74.0% (100) |  75.0% (100) |  74.0% (100) |  69.0% (100) |  73.0% (400)
hermes-4-70b                                  |   1560 |  17.0% (100) |  20.0% (100) |  20.0% (100) |  20.0% (100) |  19.2% (400)
hermes-4-70b (with COT)                       |   1560 |  10.0% (100) |  10.0% (100) |   6.0% (100) |  17.0% (100) |  10.8% (400)
kimi-k2-0905                                  |   1560 |  35.0% (100) |  42.0% (100) |  36.0% (100) |  29.0% (100) |  35.5% (400)
kimi-k2-0905 (with COT)                       |    156 |  10.0% ( 10) |  20.0% ( 10) |  10.0% ( 10) |   0.0% ( 10) |  10.0% ( 40)
kimi-k2-thinking                              |    747 |  85.1% ( 47) |  76.0% ( 50) |  81.6% ( 49) |  76.0% ( 50) |  79.6% (196)
llama-3.1-70b-instruct                        |   3120 |  16.0% (200) |  17.5% (200) |  18.5% (200) |  20.0% (200) |  18.0% (800)
llama-3.1-70b-instruct (with COT)             |   3179 |  33.7% (202) |  32.7% (202) |  32.2% (202) |  47.5% (202) |  36.5% (808)
mistral-large-2512                            |   1560 |  19.0% (100) |  30.0% (100) |  30.0% (100) |  29.0% (100) |  27.0% (400)
mistral-large-2512 (with COT)                 |    834 |  36.5% ( 52) |  34.6% ( 52) |  42.3% ( 52) |  48.1% ( 52) |  40.4% (208)
mistral-large-2512_think                      |    156 |  30.0% ( 10) |  30.0% ( 10) |  30.0% ( 10) |  30.0% ( 10) |  30.0% ( 40)
mistral-large-2512_think (with COT)           |   1182 |  26.7% ( 75) |  30.7% ( 75) |  38.7% ( 75) |  37.8% ( 74) |  33.4% (299)
mistral-small-24b-instruct-2501               |   1560 |  29.0% (100) |  32.0% (100) |  26.0% (100) |  33.0% (100) |  30.0% (400)
mistral-small-24b-instruct-2501 (with COT)    |   1558 |  33.3% ( 99) |  43.0% (100) |  45.0% (100) |  50.0% (100) |  42.9% (399)
mistral-small-24b-instruct-2501_think         |   1560 |  27.0% (100) |  32.0% (100) |  29.0% (100) |  33.0% (100) |  30.2% (400)
qwen3-32b                                     |   1560 |  33.0% (100) |  53.0% (100) |  29.0% (100) |  21.0% (100) |  34.0% (400)
qwen3-32b (with COT)                          |   1559 |  29.0% (100) |  44.0% (100) |  34.0% (100) |  31.0% (100) |  34.5% (400)
qwen3-32b_think                               |   1549 |  76.8% ( 99) |  74.5% ( 98) |  72.0% (100) |  74.7% ( 99) |  74.5% (396)
qwen3-next-80b-a3b-instruct                   |   1560 |  43.0% (100) |  34.0% (100) |  37.0% (100) |  40.0% (100) |  38.5% (400)
qwen3-next-80b-a3b-instruct (with COT)        |   1560 |  28.0% (100) |  30.0% (100) |  32.0% (100) |  36.0% (100) |  31.5% (400)
qwen3-next-80b-a3b-thinking_think             |   1516 |  80.0% (100) |  78.6% ( 98) |  79.0% (100) |  76.8% ( 99) |  78.6% (397)
--------------------------------------------------------------------------------------------------------------------------------------------
ALL MODELS                                    |  40332 |  40.1% (2583) |  45.0% (2585) |  42.0% (2586) |  44.0% (2586) |  42.8% (10340)
============================================================================================================================================
