Model                                         | Scenario |        Extra |    N |   Accuracy
------------------------------------------------------------------------------------------
anthropic-claude-opus-4.5                     |        1 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5                     |        1 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |        1 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5                     |        1 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |        2 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5                     |        2 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |        2 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5                     |        2 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |        3 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5                     |        3 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |        3 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5                     |        3 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |        4 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5                     |        4 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |        4 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5                     |        4 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |        5 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5                     |        5 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |        5 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5                     |        5 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |        6 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5                     |        6 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |        6 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5                     |        6 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |        7 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5                     |        7 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |        7 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5                     |        7 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |        8 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5                     |        8 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |        8 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5                     |        8 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |        9 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5                     |        9 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |        9 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5                     |        9 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       10 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5                     |       10 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       10 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5                     |       10 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       11 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5                     |       11 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       11 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5                     |       11 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5                     |       12 |   Min Events |    5 |       0.0%
anthropic-claude-opus-4.5                     |       12 |   Event Load |    5 |       0.0%
anthropic-claude-opus-4.5                     |       12 |      Min ECT |    5 |       0.0%
anthropic-claude-opus-4.5                     |       12 |     ECT Load |    5 |       0.0%
anthropic-claude-opus-4.5                     |       13 |   Min Events |    5 |       0.0%
anthropic-claude-opus-4.5                     |       13 |   Event Load |    5 |       0.0%
anthropic-claude-opus-4.5                     |       13 |      Min ECT |    5 |       0.0%
anthropic-claude-opus-4.5                     |       13 |     ECT Load |    5 |       0.0%
anthropic-claude-opus-4.5                     |       14 |   Min Events |    5 |       0.0%
anthropic-claude-opus-4.5                     |       14 |   Event Load |    5 |      40.0%
anthropic-claude-opus-4.5                     |       14 |      Min ECT |    5 |      60.0%
anthropic-claude-opus-4.5                     |       14 |     ECT Load |    5 |       0.0%
anthropic-claude-opus-4.5                     |       15 |   Min Events |    5 |       0.0%
anthropic-claude-opus-4.5                     |       15 |   Event Load |    5 |      60.0%
anthropic-claude-opus-4.5                     |       15 |      Min ECT |    5 |      60.0%
anthropic-claude-opus-4.5                     |       15 |     ECT Load |    5 |       0.0%
anthropic-claude-opus-4.5                     |       16 |   Min Events |    5 |      20.0%
