scenario,mistral-large-2512
scenario_1,16.7
scenario_2,33.3
scenario_3,0.0
scenario_4,16.7
scenario_5,0.0
scenario_6,0.0
scenario_7,16.7
scenario_8,0.0
scenario_9,0.0
scenario_10,0.0
scenario_11,0.0
scenario_12,66.7
scenario_13,33.3
scenario_14,33.3
scenario_15,0.0
scenario_16,40.0
scenario_17,100.0
scenario_18,100.0
scenario_19,100.0
scenario_20,20.0
scenario_21,0.0
scenario_22,20.0
scenario_23,0.0
scenario_24,0.0
scenario_25,0.0
scenario_26,60.0
scenario_27,20.0
scenario_28,0.0
scenario_29,40.0
scenario_30,0.0
scenario_31,0.0
scenario_32,0.0
scenario_33,20.0
scenario_34,0.0
scenario_35,20.0
scenario_36,0.0
scenario_37,0.0
scenario_38,20.0
scenario_39,20.0
