Scenario   |        Extra |      N |   Accuracy
--------------------------------------------------
23         |   Event Load |    166 |       0.0%
23         |      Min ECT |    166 |       0.0%
14         |      Min ECT |    166 |       0.6%
15         |   Event Load |    166 |       0.6%
15         |      Min ECT |    166 |       0.6%
16         |     ECT Load |    166 |       0.6%
23         |     ECT Load |    166 |       0.6%
30         |      Min ECT |    166 |       0.6%
32         |   Min Events |    166 |       0.6%
15         |   Min Events |    166 |       1.2%
15         |     ECT Load |    166 |       1.2%
23         |   Min Events |    166 |       1.2%
24         |   Event Load |    166 |       1.2%
30         |   Min Events |    166 |       1.2%
31         |     ECT Load |    166 |       1.2%
14         |     ECT Load |    166 |       1.8%
24         |      Min ECT |    166 |       1.8%
24         |     ECT Load |    166 |       1.8%
28         |   Min Events |    166 |       1.8%
29         |     ECT Load |    166 |       1.8%
37         |      Min ECT |    166 |       1.8%
14         |   Event Load |    166 |       2.4%
20         |     ECT Load |    166 |       2.4%
27         |     ECT Load |    166 |       2.4%
30         |     ECT Load |    166 |       2.4%
31         |   Min Events |    166 |       2.4%
31         |   Event Load |    166 |       2.4%
39         |     ECT Load |    166 |       2.4%
16         |   Event Load |    166 |       3.0%
16         |      Min ECT |    166 |       3.0%
21         |   Event Load |    166 |       3.0%
21         |      Min ECT |    166 |       3.0%
22         |     ECT Load |    166 |       3.0%
27         |   Event Load |    166 |       3.0%
29         |      Min ECT |    166 |       3.0%
32         |      Min ECT |    166 |       3.0%
28         |   Event Load |    166 |       3.6%
28         |     ECT Load |    166 |       3.6%
30         |   Event Load |    166 |       3.6%
31         |      Min ECT |    166 |       3.6%
37         |   Event Load |    166 |       3.6%
27         |   Min Events |    166 |       4.2%
27         |      Min ECT |    166 |       4.2%
28         |      Min ECT |    166 |       4.2%
29         |   Event Load |    166 |       4.2%
32         |     ECT Load |    166 |       4.2%
14         |   Min Events |    166 |       4.8%
22         |   Event Load |    166 |       4.8%
24         |   Min Events |    166 |       4.8%
32         |   Event Load |    166 |       4.8%
16         |   Min Events |    166 |       5.4%
20         |      Min ECT |    166 |       5.4%
22         |      Min ECT |    166 |       5.4%
29         |   Min Events |    166 |       5.4%
21         |     ECT Load |    165 |       5.5%
20         |   Event Load |    166 |       6.0%
37         |     ECT Load |    166 |       6.0%
11         |     ECT Load |    166 |       6.6%
39         |      Min ECT |    166 |       6.6%
39         |   Event Load |    166 |       7.2%
10         |     ECT Load |    166 |       7.8%
21         |   Min Events |    166 |       7.8%
37         |   Min Events |    166 |       8.4%
39         |   Min Events |    166 |      10.2%
8          |     ECT Load |    166 |      10.8%
20         |   Min Events |    166 |      10.8%
10         |   Event Load |    166 |      16.3%
7          |     ECT Load |    165 |      16.4%
22         |   Min Events |    166 |      16.9%
8          |      Min ECT |    166 |      19.3%
9          |     ECT Load |    166 |      20.5%
8          |   Min Events |    166 |      22.3%
10         |      Min ECT |    166 |      22.3%
8          |   Event Load |    166 |      23.5%
11         |      Min ECT |    166 |      27.7%
11         |   Event Load |    166 |      28.3%
7          |      Min ECT |    165 |      30.3%
10         |   Min Events |    166 |      32.5%
7          |   Event Load |    166 |      38.0%
11         |   Min Events |    166 |      38.0%
19         |     ECT Load |    165 |      40.0%
9          |   Event Load |    166 |      40.4%
17         |     ECT Load |    166 |      42.8%
18         |     ECT Load |    166 |      43.4%
12         |   Min Events |    166 |      45.8%
19         |   Event Load |    166 |      48.8%
9          |      Min ECT |    166 |      49.4%
13         |   Min Events |    166 |      50.0%
19         |   Min Events |    166 |      51.2%
7          |   Min Events |    166 |      51.8%
17         |      Min ECT |    166 |      51.8%
17         |   Event Load |    166 |      52.4%
19         |      Min ECT |    165 |      53.3%
13         |   Event Load |    166 |      53.6%
12         |     ECT Load |    166 |      54.8%
17         |   Min Events |    166 |      56.0%
18         |      Min ECT |    166 |      56.0%
18         |   Event Load |    166 |      56.6%
18         |   Min Events |    166 |      59.6%
12         |   Event Load |    166 |      62.0%
13         |      Min ECT |    166 |      64.5%
12         |      Min ECT |    166 |      66.9%
13         |     ECT Load |    166 |      75.3%
9          |   Min Events |    166 |      77.1%
--------------------------------------------------
