Model                                         | Scenario |        Extra |    N |   Accuracy
------------------------------------------------------------------------------------------
anthropic-claude-opus-4.5                     |        7 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.5                     |        7 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.5                     |        7 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.5                     |        7 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.5                     |        8 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.5                     |        8 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.5                     |        8 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.5                     |        8 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.5                     |        9 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.5                     |        9 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.5                     |        9 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.5                     |        9 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.5                     |       10 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.5                     |       10 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.5                     |       10 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.5                     |       10 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.5                     |       11 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.5                     |       11 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.5                     |       11 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.5                     |       11 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.5                     |       12 |   Min Events |   10 |       0.0%
anthropic-claude-opus-4.5                     |       12 |   Event Load |   10 |       0.0%
anthropic-claude-opus-4.5                     |       12 |      Min ECT |   10 |       0.0%
anthropic-claude-opus-4.5                     |       12 |     ECT Load |   10 |       0.0%
anthropic-claude-opus-4.5                     |       13 |   Min Events |   10 |       0.0%
anthropic-claude-opus-4.5                     |       13 |   Event Load |   10 |       0.0%
anthropic-claude-opus-4.5                     |       13 |      Min ECT |   10 |       0.0%
anthropic-claude-opus-4.5                     |       13 |     ECT Load |   10 |       0.0%
anthropic-claude-opus-4.5                     |       14 |   Min Events |   10 |      20.0%
anthropic-claude-opus-4.5                     |       14 |   Event Load |   10 |      50.0%
anthropic-claude-opus-4.5                     |       14 |      Min ECT |   10 |      60.0%
anthropic-claude-opus-4.5                     |       14 |     ECT Load |   10 |       0.0%
anthropic-claude-opus-4.5                     |       15 |   Min Events |   10 |      20.0%
anthropic-claude-opus-4.5                     |       15 |   Event Load |   10 |      40.0%
anthropic-claude-opus-4.5                     |       15 |      Min ECT |   10 |      30.0%
anthropic-claude-opus-4.5                     |       15 |     ECT Load |   10 |       0.0%
anthropic-claude-opus-4.5                     |       16 |   Min Events |   10 |      30.0%
anthropic-claude-opus-4.5                     |       16 |   Event Load |   10 |      80.0%
anthropic-claude-opus-4.5                     |       16 |      Min ECT |   10 |      80.0%
anthropic-claude-opus-4.5                     |       16 |     ECT Load |   10 |       0.0%
anthropic-claude-opus-4.5                     |       17 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.5                     |       17 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.5                     |       17 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.5                     |       17 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.5                     |       18 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.5                     |       18 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.5                     |       18 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.5                     |       18 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.5                     |       19 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.5                     |       19 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.5                     |       19 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.5                     |       19 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.5                     |       20 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.5                     |       20 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.5                     |       20 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.5                     |       20 |     ECT Load |   10 |      60.0%
anthropic-claude-opus-4.5                     |       21 |   Min Events |   10 |      90.0%
anthropic-claude-opus-4.5                     |       21 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.5                     |       21 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.5                     |       21 |     ECT Load |   10 |      80.0%
anthropic-claude-opus-4.5                     |       22 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.5                     |       22 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.5                     |       22 |      Min ECT |   10 |      90.0%
anthropic-claude-opus-4.5                     |       22 |     ECT Load |   10 |      60.0%
anthropic-claude-opus-4.5                     |       23 |   Min Events |   10 |      80.0%
anthropic-claude-opus-4.5                     |       23 |   Event Load |   10 |      80.0%
anthropic-claude-opus-4.5                     |       23 |      Min ECT |   10 |      80.0%
anthropic-claude-opus-4.5                     |       23 |     ECT Load |   10 |      50.0%
anthropic-claude-opus-4.5                     |       24 |   Min Events |   10 |      60.0%
anthropic-claude-opus-4.5                     |       24 |   Event Load |   10 |      50.0%
anthropic-claude-opus-4.5                     |       24 |      Min ECT |   10 |      50.0%
anthropic-claude-opus-4.5                     |       24 |     ECT Load |   10 |       0.0%
anthropic-claude-opus-4.5                     |       27 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.5                     |       27 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.5                     |       27 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.5                     |       27 |     ECT Load |   10 |      80.0%
anthropic-claude-opus-4.5                     |       28 |   Min Events |   10 |      30.0%
anthropic-claude-opus-4.5                     |       28 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.5                     |       28 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.5                     |       28 |     ECT Load |   10 |      80.0%
anthropic-claude-opus-4.5                     |       29 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.5                     |       29 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.5                     |       29 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.5                     |       29 |     ECT Load |   10 |      90.0%
anthropic-claude-opus-4.5                     |       30 |   Min Events |   10 |      50.0%
anthropic-claude-opus-4.5                     |       30 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.5                     |       30 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.5                     |       30 |     ECT Load |   10 |      70.0%
anthropic-claude-opus-4.5                     |       31 |   Min Events |   10 |      10.0%
anthropic-claude-opus-4.5                     |       31 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.5                     |       31 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.5                     |       31 |     ECT Load |   10 |      90.0%
anthropic-claude-opus-4.5                     |       32 |   Min Events |   10 |      80.0%
anthropic-claude-opus-4.5                     |       32 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.5                     |       32 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.5                     |       32 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.5                     |       37 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.5                     |       37 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.5                     |       37 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.5                     |       37 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.5                     |       39 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.5                     |       39 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.5                     |       39 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.5                     |       39 |     ECT Load |   10 |     100.0%

anthropic-claude-opus-4.6                     |        7 |   Min Events |    9 |     100.0%
anthropic-claude-opus-4.6                     |        7 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6                     |        7 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6                     |        7 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.6                     |        8 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6                     |        8 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6                     |        8 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6                     |        8 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.6                     |        9 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6                     |        9 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6                     |        9 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6                     |        9 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.6                     |       10 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6                     |       10 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6                     |       10 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6                     |       10 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.6                     |       11 |   Min Events |   10 |     100.0%
anthropic-claude-opus-4.6                     |       11 |   Event Load |   10 |     100.0%
anthropic-claude-opus-4.6                     |       11 |      Min ECT |   10 |     100.0%
anthropic-claude-opus-4.6                     |       11 |     ECT Load |   10 |     100.0%
anthropic-claude-opus-4.6                     |       12 |   Min Events |   10 |       0.0%
anthropic-claude-opus-4.6                     |       12 |   Event Load |   10 |       0.0%
anthropic-claude-opus-4.6                     |       12 |      Min ECT |   10 |       0.0%
anthropic-claude-opus-4.6                     |       12 |     ECT Load |   10 |       0.0%
