Scenario   |        Extra |      N |   Accuracy
--------------------------------------------------
13         |   Min Events |    110 |       7.3%
23         |     ECT Load |    110 |       8.2%
12         |   Event Load |    110 |      10.0%
13         |      Min ECT |    110 |      10.9%
13         |   Event Load |    110 |      12.7%
23         |      Min ECT |    110 |      13.6%
12         |      Min ECT |    110 |      14.5%
23         |   Min Events |    110 |      14.5%
23         |   Event Load |    110 |      16.4%
13         |     ECT Load |    110 |      17.3%
12         |     ECT Load |    110 |      18.2%
12         |   Min Events |    110 |      20.9%
29         |     ECT Load |    110 |      21.8%
27         |     ECT Load |    110 |      25.5%
16         |     ECT Load |    110 |      27.3%
24         |     ECT Load |    110 |      28.2%
14         |     ECT Load |    109 |      28.4%
24         |      Min ECT |    110 |      31.8%
15         |   Min Events |    110 |      32.7%
15         |      Min ECT |    110 |      33.6%
15         |     ECT Load |    110 |      33.6%
28         |     ECT Load |    110 |      33.6%
31         |   Min Events |    110 |      33.6%
15         |   Event Load |    110 |      34.5%
24         |   Event Load |    110 |      34.5%
28         |      Min ECT |    110 |      36.4%
24         |   Min Events |    110 |      37.3%
14         |      Min ECT |    109 |      37.6%
28         |   Event Load |    110 |      38.2%
22         |     ECT Load |    110 |      39.1%
30         |   Min Events |    110 |      39.1%
30         |     ECT Load |    110 |      39.1%
14         |   Event Load |    110 |      40.0%
16         |   Event Load |    110 |      40.0%
16         |      Min ECT |    110 |      41.8%
30         |      Min ECT |    110 |      41.8%
32         |   Min Events |    110 |      41.8%
32         |     ECT Load |    110 |      41.8%
14         |   Min Events |    110 |      44.5%
20         |     ECT Load |    110 |      44.5%
31         |     ECT Load |    110 |      44.5%
27         |   Event Load |    110 |      45.5%
28         |   Min Events |    110 |      45.5%
29         |      Min ECT |    110 |      46.4%
21         |     ECT Load |    110 |      47.3%
31         |   Event Load |    110 |      48.2%
16         |   Min Events |    110 |      49.1%
27         |      Min ECT |    110 |      49.1%
30         |   Event Load |    110 |      49.1%
39         |     ECT Load |    110 |      49.1%
20         |      Min ECT |    110 |      50.9%
22         |      Min ECT |    110 |      50.9%
21         |      Min ECT |    110 |      51.8%
29         |   Event Load |    110 |      52.7%
31         |      Min ECT |    110 |      52.7%
32         |   Event Load |    110 |      53.6%
21         |   Min Events |    110 |      54.5%
21         |   Event Load |    110 |      54.5%
29         |   Min Events |    110 |      54.5%
32         |      Min ECT |    110 |      54.5%
27         |   Min Events |    110 |      56.4%
20         |   Event Load |    110 |      57.3%
22         |   Event Load |    110 |      57.3%
37         |     ECT Load |    110 |      60.9%
39         |      Min ECT |    110 |      66.4%
20         |   Min Events |    110 |      70.9%
8          |     ECT Load |    109 |      72.5%
39         |   Event Load |    110 |      73.6%
10         |     ECT Load |    109 |      74.3%
37         |   Event Load |    110 |      74.5%
22         |   Min Events |    110 |      76.4%
37         |   Min Events |    110 |      76.4%
37         |      Min ECT |    110 |      77.3%
39         |   Min Events |    110 |      78.2%
10         |      Min ECT |    110 |      83.6%
11         |     ECT Load |    110 |      83.6%
11         |   Event Load |    110 |      85.5%
10         |   Event Load |    110 |      86.4%
7          |     ECT Load |    110 |      87.3%
11         |      Min ECT |    110 |      89.1%
8          |   Min Events |    110 |      90.0%
10         |   Min Events |    110 |      90.0%
11         |   Min Events |    110 |      90.0%
9          |     ECT Load |    110 |      90.9%
8          |   Event Load |    110 |      94.5%
8          |      Min ECT |    110 |      95.5%
18         |   Min Events |    110 |      97.3%
9          |      Min ECT |    110 |      98.2%
17         |   Min Events |    110 |      98.2%
18         |     ECT Load |    110 |      98.2%
19         |   Event Load |    110 |      98.2%
17         |      Min ECT |    110 |      99.1%
7          |   Min Events |    109 |     100.0%
7          |   Event Load |    110 |     100.0%
7          |      Min ECT |    110 |     100.0%
9          |   Min Events |    110 |     100.0%
9          |   Event Load |    110 |     100.0%
17         |   Event Load |    110 |     100.0%
17         |     ECT Load |    110 |     100.0%
18         |   Event Load |    110 |     100.0%
18         |      Min ECT |    110 |     100.0%
19         |   Min Events |    110 |     100.0%
19         |      Min ECT |    109 |     100.0%
19         |     ECT Load |    109 |     100.0%
--------------------------------------------------
