
Model                                    |     N |      Overall |   Min Events |   Event Load |      Min ECT |     ECT Load
----------------------------------------------------------------------------------------------------------------------------------
anthropic-claude-opus-4.5                |  1040 |  77.1% (± 2.6) |  71.9% (± 5.4) |  84.6% (± 4.4) |  84.2% (± 4.4) |  67.7% (± 5.6)
anthropic-claude-opus-4.5 (lies ok)      |  1040 |  79.3% (± 2.5) |  79.2% (± 4.9) |  84.6% (± 4.4) |  84.2% (± 4.4) |  69.2% (± 5.6)
anthropic-claude-opus-4.6                |  1037 |  64.9% (± 2.9) |  64.1% (± 5.8) |  72.7% (± 5.4) |  77.2% (± 5.1) |  45.6% (± 6.0)
anthropic-claude-opus-4.6 (lies ok)      |  1037 |  66.1% (± 2.9) |  64.9% (± 5.8) |  73.1% (± 5.4) |  77.2% (± 5.1) |  49.0% (± 6.0)
deepseek-chat-v3.1                       |  1040 |  41.2% (± 3.0) |  53.5% (± 6.0) |  44.2% (± 6.0) |  35.8% (± 5.8) |  31.5% (± 5.6)
deepseek-chat-v3.1 (lies ok)             |  1040 |  42.7% (± 3.0) |  53.5% (± 6.0) |  45.0% (± 6.0) |  36.5% (± 5.8) |  35.8% (± 5.8)
deepseek-chat-v3.1 (with COT)            |  1038 |  41.1% (± 3.0) |  43.1% (± 6.0) |  42.7% (± 6.0) |  40.8% (± 5.9) |  38.0% (± 5.9)
deepseek-chat-v3.1 (with COT) (lies ok)  |  1038 |  49.2% (± 3.0) |  49.6% (± 6.0) |  49.2% (± 6.0) |  48.5% (± 6.0) |  49.6% (± 6.1)
openai-gpt-5.2-chat                      |  1040 |  82.2% (± 2.3) |  83.5% (± 4.5) |  83.5% (± 4.5) |  81.2% (± 4.7) |  80.8% (± 4.8)
openai-gpt-5.2-chat (lies ok)            |  1040 |  86.2% (± 2.1) |  86.9% (± 4.1) |  86.5% (± 4.2) |  85.4% (± 4.3) |  86.2% (± 4.2)
openai-gpt-5.2-chat (with COT)           |  1039 |  83.3% (± 2.3) |  84.6% (± 4.4) |  83.1% (± 4.5) |  83.0% (± 4.6) |  82.7% (± 4.6)
openai-gpt-5.2-chat (with COT) (lies ok) |  1039 |  87.2% (± 2.0) |  86.9% (± 4.1) |  87.3% (± 4.1) |  87.3% (± 4.1) |  87.3% (± 4.1)
openai-gpt-5.2_think                     |  1040 |  63.8% (± 2.9) |  69.2% (± 5.6) |  64.2% (± 5.8) |  64.6% (± 5.8) |  57.3% (± 6.0)
openai-gpt-5.2_think (lies ok)           |  1040 |  76.3% (± 2.6) |  77.7% (± 5.0) |  77.7% (± 5.0) |  77.7% (± 5.0) |  72.3% (± 5.4)
openai-gpt-5.2_think (lose)              |  1039 |  68.6% (± 2.8) |  74.2% (± 5.3) |  69.2% (± 5.6) |  67.3% (± 5.7) |  63.7% (± 5.8)
openai-gpt-5.2_think (lose) (lies ok)    |  1039 |  76.5% (± 2.6) |  80.4% (± 4.8) |  76.9% (± 5.1) |  74.6% (± 5.3) |  74.1% (± 5.3)
qwen3-235b-a22b-2507                     |  1040 |  39.4% (± 3.0) |  46.9% (± 6.0) |  41.2% (± 5.9) |  38.5% (± 5.9) |  31.2% (± 5.6)
qwen3-235b-a22b-2507 (lies ok)           |  1040 |  40.0% (± 3.0) |  46.9% (± 6.0) |  41.9% (± 6.0) |  39.2% (± 5.9) |  31.9% (± 5.6)
qwen3-235b-a22b-2507 (with COT)          |  1040 |  35.9% (± 2.9) |  41.2% (± 5.9) |  36.5% (± 5.8) |  37.7% (± 5.9) |  28.1% (± 5.4)
qwen3-235b-a22b-2507 (with COT) (lies ok) |  1040 |  35.9% (± 2.9) |  41.2% (± 5.9) |  36.5% (± 5.8) |  37.7% (± 5.9) |  28.1% (± 5.4)
qwen3-235b-a22b-2507_think               |  1040 |  36.7% (± 2.9) |  44.2% (± 6.0) |  36.9% (± 5.8) |  36.2% (± 5.8) |  29.6% (± 5.5)
qwen3-235b-a22b-2507_think (lies ok)     |  1040 |  37.1% (± 2.9) |  44.2% (± 6.0) |  36.9% (± 5.8) |  36.5% (± 5.8) |  30.8% (± 5.6)
==================================================================================================================================
