Model,Extra,Self: Knowledge vs Belief,Teammate: Knowledge vs Belief,Combined Uncertainty,True vs False Belief,Teammate vs Opponent,Strategic Lies
anthropic-claude-opus-4.5 (with COT),Overall,55.0,100.0,66.2,100.0,82.0,51.7
anthropic-claude-opus-4.5 (with COT),Minimal Events,50.0,100.0,70.0,100.0,80.0,50.0
anthropic-claude-opus-4.5 (with COT),Event Load,55.0,100.0,70.0,100.0,82.0,50.0
anthropic-claude-opus-4.5 (with COT),Minimal ECT,50.0,100.0,70.0,100.0,80.0,50.0
anthropic-claude-opus-4.5 (with COT),ECT Load,65.0,100.0,55.0,100.0,86.0,56.7
anthropic-claude-opus-4.5_think,Overall,55.0,100.0,70.0,100.0,82.0,55.8
anthropic-claude-opus-4.5_think,Minimal Events,55.0,100.0,70.0,100.0,82.0,50.0
anthropic-claude-opus-4.5_think,Event Load,50.0,100.0,70.0,100.0,80.0,50.0
anthropic-claude-opus-4.5_think,Minimal ECT,50.0,100.0,70.0,100.0,80.0,50.0
anthropic-claude-opus-4.5_think,ECT Load,65.0,100.0,70.0,100.0,86.0,73.3
anthropic-claude-opus-4.5_think (with COT),Overall,52.5,100.0,70.0,100.0,81.0,52.5
anthropic-claude-opus-4.5_think (with COT),Minimal Events,55.0,100.0,70.0,100.0,82.0,50.0
anthropic-claude-opus-4.5_think (with COT),Event Load,50.0,100.0,70.0,100.0,80.0,53.3
anthropic-claude-opus-4.5_think (with COT),Minimal ECT,50.0,100.0,70.0,100.0,80.0,50.0
anthropic-claude-opus-4.5_think (with COT),ECT Load,55.0,100.0,70.0,100.0,82.0,56.7
anthropic-claude-opus-4.6,Overall,50.6,91.7,78.1,58.8,58.0,15.0
anthropic-claude-opus-4.6,Minimal Events,50.0,98.3,87.5,60.0,52.0,3.3
anthropic-claude-opus-4.6,Event Load,50.0,98.3,80.0,61.7,63.0,21.7
anthropic-claude-opus-4.6,Minimal ECT,50.0,96.7,77.5,63.3,69.0,31.7
anthropic-claude-opus-4.6,ECT Load,52.5,73.3,67.5,50.0,48.0,3.3
