Model                                         | Scenario |        Extra |    N |   Accuracy
------------------------------------------------------------------------------------------
anthropic-claude-opus-4.5 (with COT)          |        7 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5 (with COT)          |        7 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5 (with COT)          |        7 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5 (with COT)          |        7 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5 (with COT)          |        8 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5 (with COT)          |        8 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5 (with COT)          |        8 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5 (with COT)          |        8 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5 (with COT)          |        9 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5 (with COT)          |        9 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5 (with COT)          |        9 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5 (with COT)          |        9 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.5 (with COT)          |       10 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5 (with COT)          |       10 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5 (with COT)          |       10 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5 (with COT)          |       10 |     ECT Load |    5 |      80.0%
anthropic-claude-opus-4.5 (with COT)          |       11 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5 (with COT)          |       11 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5 (with COT)          |       11 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5 (with COT)          |       11 |     ECT Load |    5 |      80.0%
anthropic-claude-opus-4.5 (with COT)          |       12 |   Min Events |    5 |       0.0%
anthropic-claude-opus-4.5 (with COT)          |       12 |   Event Load |    5 |       0.0%
anthropic-claude-opus-4.5 (with COT)          |       12 |      Min ECT |    5 |       0.0%
anthropic-claude-opus-4.5 (with COT)          |       12 |     ECT Load |    5 |      40.0%
anthropic-claude-opus-4.5 (with COT)          |       13 |   Min Events |    5 |       0.0%
anthropic-claude-opus-4.5 (with COT)          |       13 |   Event Load |    5 |      20.0%
anthropic-claude-opus-4.5 (with COT)          |       13 |      Min ECT |    5 |       0.0%
anthropic-claude-opus-4.5 (with COT)          |       13 |     ECT Load |    5 |      20.0%
anthropic-claude-opus-4.5 (with COT)          |       14 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.5 (with COT)          |       14 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.5 (with COT)          |       14 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.5 (with COT)          |       14 |     ECT Load |    5 |     100.0%
