Scenario   |        Extra |      N |   Accuracy
--------------------------------------------------
23         |     ECT Load |    107 |      19.6%
29         |     ECT Load |    107 |      19.6%
23         |   Event Load |    107 |      20.6%
23         |   Min Events |    107 |      24.3%
23         |      Min ECT |    107 |      24.3%
12         |   Event Load |    107 |      25.2%
13         |   Event Load |    107 |      25.2%
27         |     ECT Load |    107 |      25.2%
12         |      Min ECT |    107 |      29.0%
24         |     ECT Load |    107 |      29.0%
13         |   Min Events |    107 |      29.9%
13         |      Min ECT |    107 |      31.8%
28         |     ECT Load |    106 |      34.9%
12         |   Min Events |    107 |      35.5%
16         |     ECT Load |    107 |      38.3%
31         |   Min Events |    107 |      39.3%
14         |     ECT Load |    107 |      40.2%
30         |   Min Events |    107 |      40.2%
30         |     ECT Load |    107 |      40.2%
31         |     ECT Load |    107 |      40.2%
32         |     ECT Load |    107 |      41.1%
15         |     ECT Load |    107 |      42.1%
32         |   Min Events |    107 |      42.1%
10         |     ECT Load |    107 |      43.9%
14         |   Min Events |    107 |      43.9%
24         |      Min ECT |    107 |      43.9%
24         |   Event Load |    107 |      44.9%
24         |   Min Events |    107 |      45.8%
15         |   Min Events |    107 |      47.7%
28         |   Min Events |    107 |      47.7%
30         |   Event Load |    107 |      48.6%
11         |     ECT Load |    107 |      49.5%
12         |     ECT Load |    107 |      49.5%
14         |      Min ECT |    107 |      49.5%
22         |     ECT Load |    107 |      49.5%
31         |   Event Load |    107 |      50.5%
15         |   Event Load |    107 |      51.4%
15         |      Min ECT |    107 |      51.4%
31         |      Min ECT |    107 |      51.4%
30         |      Min ECT |    107 |      52.3%
14         |   Event Load |    107 |      53.3%
16         |   Min Events |    107 |      53.3%
32         |   Event Load |    107 |      53.3%
20         |     ECT Load |    107 |      54.2%
29         |   Min Events |    107 |      54.2%
16         |   Event Load |    107 |      55.1%
28         |   Event Load |    107 |      55.1%
32         |      Min ECT |    107 |      55.1%
29         |   Event Load |    107 |      56.1%
29         |      Min ECT |    107 |      57.0%
16         |      Min ECT |    107 |      57.9%
27         |   Min Events |    107 |      57.9%
28         |      Min ECT |    107 |      57.9%
27         |   Event Load |    107 |      58.9%
7          |     ECT Load |    107 |      59.8%
37         |     ECT Load |    107 |      59.8%
13         |     ECT Load |    107 |      60.7%
39         |     ECT Load |    107 |      60.7%
21         |     ECT Load |    107 |      62.6%
27         |      Min ECT |    107 |      62.6%
9          |     ECT Load |    107 |      66.4%
17         |     ECT Load |    107 |      66.4%
37         |   Event Load |    107 |      66.4%
39         |      Min ECT |    107 |      66.4%
19         |     ECT Load |    107 |      67.3%
20         |      Min ECT |    107 |      67.3%
21         |      Min ECT |    107 |      67.3%
37         |      Min ECT |    107 |      67.3%
20         |   Event Load |    107 |      68.2%
21         |   Min Events |    107 |      68.2%
22         |      Min ECT |    107 |      68.2%
39         |   Event Load |    107 |      68.2%
18         |     ECT Load |    107 |      69.2%
21         |   Event Load |    107 |      69.2%
8          |     ECT Load |    106 |      69.8%
22         |   Event Load |    107 |      70.1%
37         |   Min Events |    107 |      70.1%
10         |      Min ECT |    107 |      72.0%
19         |      Min ECT |    107 |      72.9%
39         |   Min Events |    107 |      72.9%
19         |   Min Events |    107 |      73.8%
17         |      Min ECT |    107 |      74.8%
18         |      Min ECT |    107 |      74.8%
20         |   Min Events |    107 |      74.8%
17         |   Min Events |    107 |      75.7%
11         |      Min ECT |    107 |      76.6%
18         |   Min Events |    107 |      76.6%
10         |   Event Load |    107 |      77.6%
17         |   Event Load |    107 |      77.6%
18         |   Event Load |    107 |      77.6%
8          |   Event Load |    107 |      79.4%
10         |   Min Events |    107 |      79.4%
11         |   Event Load |    107 |      79.4%
19         |   Event Load |    107 |      79.4%
22         |   Min Events |    107 |      79.4%
8          |   Min Events |    107 |      80.4%
8          |      Min ECT |    107 |      80.4%
11         |   Min Events |    107 |      81.3%
7          |   Event Load |    107 |      86.0%
7          |      Min ECT |    107 |      86.9%
9          |      Min ECT |    107 |      88.8%
7          |   Min Events |    107 |      92.5%
9          |   Event Load |    107 |      93.5%
9          |   Min Events |    107 |     100.0%
--------------------------------------------------
