
Model                                    |     N |      Overall |   Min Events |   Event Load |      Min ECT |     ECT Load
----------------------------------------------------------------------------------------------------------------------------------
anthropic-claude-opus-4.5 (with COT)     |   520 |  87.5% (± 2.8) |  87.7% (± 5.7) |  88.5% (± 5.5) |  87.7% (± 5.7) |  86.2% (± 5.9)
anthropic-claude-opus-4.5 (with COT) (lies ok) |   520 |  87.9% (± 2.8) |  87.7% (± 5.7) |  88.5% (± 5.5) |  87.7% (± 5.7) |  87.7% (± 5.7)
anthropic-claude-opus-4.5_think          |   520 |  87.1% (± 2.9) |  88.5% (± 5.5) |  87.7% (± 5.7) |  87.7% (± 5.7) |  84.6% (± 6.2)
anthropic-claude-opus-4.5_think (lies ok) |   520 |  88.5% (± 2.8) |  88.5% (± 5.5) |  87.7% (± 5.7) |  87.7% (± 5.7) |  90.0% (± 5.2)
anthropic-claude-opus-4.5_think (with COT) |   520 |  87.5% (± 2.8) |  88.5% (± 5.5) |  86.9% (± 5.8) |  87.7% (± 5.7) |  86.9% (± 5.8)
anthropic-claude-opus-4.5_think (with COT) (lies ok) |   520 |  88.1% (± 2.8) |  88.5% (± 5.5) |  87.7% (± 5.7) |  87.7% (± 5.7) |  88.5% (± 5.5)
anthropic-claude-opus-4.6                |  1040 |  64.1% (± 2.9) |  64.2% (± 5.8) |  71.9% (± 5.4) |  73.8% (± 5.3) |  46.5% (± 6.0)
anthropic-claude-opus-4.6 (lies ok)      |  1040 |  65.5% (± 2.9) |  65.0% (± 5.8) |  72.7% (± 5.4) |  73.8% (± 5.3) |  50.4% (± 6.0)
anthropic-claude-opus-4.6 (with COT)     |  1040 |  83.1% (± 2.3) |  81.9% (± 4.7) |  84.6% (± 4.4) |  86.2% (± 4.2) |  79.6% (± 4.9)
anthropic-claude-opus-4.6 (with COT) (lies ok) |  1040 |  85.9% (± 2.1) |  83.1% (± 4.5) |  86.9% (± 4.1) |  86.9% (± 4.1) |  86.5% (± 4.2)
anthropic-claude-opus-4.6_lowthink       |   208 |  62.0% (± 6.5) |  61.5% (±12.8) |  71.2% (±12.0) |  71.2% (±12.0) |  44.2% (±13.0)
anthropic-claude-opus-4.6_lowthink (lies ok) |   208 |  63.5% (± 6.5) |  63.5% (±12.7) |  71.2% (±12.0) |  71.2% (±12.0) |  48.1% (±13.1)
anthropic-claude-opus-4.6_lowthink (with COT) |   208 |  84.6% (± 4.9) |  82.7% (±10.2) |  84.6% (± 9.8) |  88.5% (± 8.8) |  82.7% (±10.2)
anthropic-claude-opus-4.6_lowthink (with COT) (lies ok) |   208 |  87.5% (± 4.5) |  84.6% (± 9.8) |  88.5% (± 8.8) |  88.5% (± 8.8) |  88.5% (± 8.8)
anthropic-claude-opus-4.6_think          |   520 |  90.4% (± 2.5) |  93.8% (± 4.3) |  90.8% (± 5.0) |  90.8% (± 5.0) |  86.2% (± 5.9)
anthropic-claude-opus-4.6_think (lies ok) |   520 |  91.0% (± 2.5) |  93.8% (± 4.3) |  91.5% (± 4.9) |  90.8% (± 5.0) |  87.7% (± 5.7)
anthropic-claude-opus-4.6_think (with COT) |   520 |  90.0% (± 2.6) |  92.3% (± 4.7) |  93.1% (± 4.5) |  90.8% (± 5.0) |  83.8% (± 6.3)
anthropic-claude-opus-4.6_think (with COT) (lies ok) |   520 |  90.6% (± 2.5) |  93.1% (± 4.5) |  93.1% (± 4.5) |  91.5% (± 4.9) |  84.6% (± 6.2)
anthropic-claude-opus-4.6_think_defaulttemp |   520 |  89.6% (± 2.6) |  91.5% (± 4.9) |  90.8% (± 5.0) |  90.8% (± 5.0) |  85.4% (± 6.1)
anthropic-claude-opus-4.6_think_defaulttemp (lies ok) |   520 |  90.4% (± 2.5) |  91.5% (± 4.9) |  90.8% (± 5.0) |  91.5% (± 4.9) |  87.7% (± 5.7)
kimi-k2-0905                             |  1144 |  25.9% (± 2.5) |  37.1% (± 5.6) |  29.0% (± 5.2) |  24.5% (± 5.0) |  12.9% (± 3.9)
kimi-k2-0905 (lies ok)                   |  1144 |  27.9% (± 2.6) |  42.0% (± 5.7) |  29.4% (± 5.3) |  25.2% (± 5.0) |  15.0% (± 4.1)
kimi-k2-0905 (with COT)                  |  1039 |  12.5% (± 2.0) |  15.8% (± 4.4) |  11.9% (± 3.9) |  13.1% (± 4.1) |   9.3% (± 3.6)
kimi-k2-0905 (with COT) (lies ok)        |  1039 |  12.7% (± 2.0) |  16.2% (± 4.5) |  11.9% (± 3.9) |  13.1% (± 4.1) |   9.7% (± 3.6)
kimi-k2-0905_defaulttemp (with COT)      |   104 |  13.5% (± 6.6) |  23.1% (±15.5) |  11.5% (±12.5) |   7.7% (±11.0) |  11.5% (±12.5)
kimi-k2-0905_defaulttemp (with COT) (lies ok) |   104 |  15.4% (± 6.9) |  23.1% (±15.5) |  11.5% (±12.5) |  11.5% (±12.5) |  15.4% (±13.7)
kimi-k2-thinking                         |   103 |  83.5% (± 7.1) |  88.5% (±12.5) |  92.3% (±11.0) |  76.9% (±15.5) |  76.0% (±16.0)
kimi-k2-thinking (lies ok)               |   103 |  88.3% (± 6.2) |  92.3% (±11.0) |  92.3% (±11.0) |  84.6% (±13.7) |  84.0% (±14.1)
llama-3.1-70b-Instruct                   |  1040 |  36.0% (± 2.9) |  41.9% (± 6.0) |  44.6% (± 6.0) |  43.8% (± 6.0) |  13.5% (± 4.2)
llama-3.1-70b-Instruct (lies ok)         |  1040 |  44.4% (± 3.0) |  53.8% (± 6.0) |  48.1% (± 6.0) |  48.8% (± 6.0) |  26.9% (± 5.4)
llama-3.1-70b-Instruct (with COT)        |  1040 |  27.9% (± 2.7) |  31.5% (± 5.6) |  28.8% (± 5.5) |  28.8% (± 5.5) |  22.3% (± 5.0)
llama-3.1-70b-Instruct (with COT) (lies ok) |  1040 |  40.2% (± 3.0) |  45.8% (± 6.0) |  41.2% (± 5.9) |  39.2% (± 5.9) |  34.6% (± 5.7)
llama-3.3-70b-Instruct                   |  1040 |  62.8% (± 2.9) |  65.8% (± 5.7) |  70.4% (± 5.5) |  72.7% (± 5.4) |  42.3% (± 6.0)
llama-3.3-70b-Instruct (lies ok)         |  1040 |  62.9% (± 2.9) |  66.2% (± 5.7) |  70.4% (± 5.5) |  72.7% (± 5.4) |  42.3% (± 6.0)
==================================================================================================================================
