scenario,anthropic-claude-opus-4.5,anthropic-claude-opus-4.5_think,deepseek-chat-v3.1,openai-gpt-5-chat,openai-gpt-5.2,openai-gpt-5.2_think,openai-gpt-5_lowthink,openai-gpt-5_think
scenario_1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
scenario_2,100.0,100.0,100.0,100.0,90.0,95.0,100.0,100.0
scenario_3,100.0,100.0,100.0,100.0,85.0,90.0,100.0,100.0
scenario_4,100.0,100.0,100.0,100.0,70.0,90.0,100.0,100.0
scenario_5,100.0,100.0,100.0,100.0,70.0,80.0,100.0,100.0
scenario_6,100.0,100.0,100.0,100.0,75.0,95.0,100.0,100.0
scenario_7,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0
scenario_8,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0
scenario_9,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0
scenario_10,90.0,75.0,100.0,90.0,35.0,85.0,90.0,90.0
scenario_11,100.0,90.0,100.0,90.0,30.0,85.0,90.0,70.0
scenario_12,5.0,50.0,0.0,20.0,75.0,45.0,30.0,40.0
scenario_13,10.0,10.0,0.0,30.0,20.0,10.0,20.0,60.0
scenario_14,25.0,100.0,81.8,30.0,0.0,80.0,100.0,90.0
scenario_15,0.0,100.0,0.0,50.0,0.0,70.0,100.0,100.0
scenario_16,25.0,90.0,90.9,30.0,0.0,65.0,100.0,100.0
scenario_17,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
scenario_18,100.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0
scenario_19,100.0,100.0,72.7,100.0,100.0,100.0,100.0,100.0
scenario_20,100.0,100.0,100.0,100.0,0.0,80.0,100.0,100.0
scenario_21,85.0,100.0,9.1,100.0,0.0,80.0,100.0,100.0
scenario_22,100.0,100.0,100.0,100.0,10.0,90.0,100.0,100.0
scenario_23,35.0,80.0,72.7,50.0,0.0,50.0,70.0,100.0
scenario_24,60.0,95.0,72.7,70.0,0.0,70.0,100.0,100.0
scenario_25,100.0,100.0,90.9,80.0,0.0,75.0,100.0,100.0
scenario_26,100.0,100.0,100.0,100.0,0.0,90.0,100.0,100.0
scenario_27,30.0,100.0,54.5,100.0,0.0,45.0,10.0,50.0
scenario_28,30.0,100.0,27.3,80.0,0.0,20.0,100.0,90.0
scenario_29,60.0,100.0,100.0,100.0,0.0,30.0,60.0,60.0
scenario_30,40.0,100.0,18.2,90.0,0.0,60.0,100.0,100.0
scenario_31,40.0,100.0,0.0,100.0,0.0,60.0,100.0,100.0
scenario_32,75.0,100.0,0.0,100.0,0.0,45.0,100.0,100.0
scenario_33,85.0,100.0,100.0,100.0,0.0,65.0,100.0,100.0
scenario_34,90.0,100.0,54.5,100.0,0.0,55.0,100.0,100.0
scenario_35,55.0,100.0,100.0,100.0,0.0,85.0,100.0,100.0
scenario_36,60.0,100.0,90.9,80.0,0.0,25.0,70.0,90.0
scenario_37,100.0,100.0,90.9,90.0,5.0,70.0,100.0,100.0
scenario_38,50.0,100.0,90.9,100.0,0.0,30.0,70.0,100.0
scenario_39,100.0,100.0,100.0,100.0,0.0,85.0,100.0,100.0
