Model,Extra,Self: Knowledge vs Belief,Teammate: Knowledge vs Belief,Combined Uncertainty,True vs False Belief,Teammate vs Opponent,Strategic Lies
anthropic-claude-opus-4.6,Overall,50.0,90.8,82.5,63.3,59.5,18.3
anthropic-claude-opus-4.6,Minimal Events,50.0,100.0,90.0,66.7,54.0,6.7
anthropic-claude-opus-4.6,Event Load,50.0,100.0,90.0,66.7,62.0,20.0
anthropic-claude-opus-4.6,Minimal ECT,50.0,93.3,85.0,70.0,76.0,43.3
anthropic-claude-opus-4.6,ECT Load,50.0,70.0,65.0,50.0,46.0,3.3
anthropic-claude-opus-4.6 (with COT),Overall,63.7,100.0,66.2,94.2,85.5,59.2
anthropic-claude-opus-4.6 (with COT),Minimal Events,60.0,100.0,80.0,83.3,84.0,56.7
anthropic-claude-opus-4.6 (with COT),Event Load,50.0,100.0,75.0,100.0,80.0,56.7
anthropic-claude-opus-4.6 (with COT),Minimal ECT,50.0,100.0,70.0,96.7,80.0,56.7
anthropic-claude-opus-4.6 (with COT),ECT Load,95.0,100.0,40.0,96.7,98.0,66.7
anthropic-claude-opus-4.6_think,Overall,85.0,100.0,48.8,99.6,94.0,54.6
anthropic-claude-opus-4.6_think,Minimal Events,92.5,100.0,55.0,100.0,97.0,50.0
anthropic-claude-opus-4.6_think,Event Load,75.0,100.0,55.0,100.0,90.0,51.7
anthropic-claude-opus-4.6_think,Minimal ECT,77.5,100.0,50.0,100.0,91.0,55.0
anthropic-claude-opus-4.6_think,ECT Load,95.0,100.0,35.0,98.3,98.0,61.7
anthropic-claude-opus-4.6_think (lose),Overall,90.0,100.0,51.2,100.0,96.0,58.3
anthropic-claude-opus-4.6_think (lose),Minimal Events,95.0,100.0,50.0,100.0,98.0,53.3
anthropic-claude-opus-4.6_think (lose),Event Load,85.0,100.0,50.0,100.0,94.0,63.3
anthropic-claude-opus-4.6_think (lose),Minimal ECT,80.0,100.0,50.0,100.0,92.0,56.7
