Model                                         | Scenario |        Extra |    N |   Accuracy
------------------------------------------------------------------------------------------
anthropic-claude-opus-4.6                     |        7 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.6                     |        7 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.6                     |        7 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.6                     |        7 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.6                     |        8 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.6                     |        8 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.6                     |        8 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.6                     |        8 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.6                     |        9 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.6                     |        9 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.6                     |        9 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.6                     |        9 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.6                     |       10 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.6                     |       10 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.6                     |       10 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.6                     |       10 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.6                     |       11 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.6                     |       11 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.6                     |       11 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.6                     |       11 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.6                     |       12 |   Min Events |    5 |       0.0%
anthropic-claude-opus-4.6                     |       12 |   Event Load |    5 |       0.0%
anthropic-claude-opus-4.6                     |       12 |      Min ECT |    5 |       0.0%
anthropic-claude-opus-4.6                     |       12 |     ECT Load |    5 |       0.0%
anthropic-claude-opus-4.6                     |       13 |   Min Events |    5 |       0.0%
anthropic-claude-opus-4.6                     |       13 |   Event Load |    5 |       0.0%
anthropic-claude-opus-4.6                     |       13 |      Min ECT |    5 |       0.0%
anthropic-claude-opus-4.6                     |       13 |     ECT Load |    5 |       0.0%
anthropic-claude-opus-4.6                     |       14 |   Min Events |    5 |      60.0%
anthropic-claude-opus-4.6                     |       14 |   Event Load |    5 |      60.0%
anthropic-claude-opus-4.6                     |       14 |      Min ECT |    5 |      60.0%
anthropic-claude-opus-4.6                     |       14 |     ECT Load |    5 |       0.0%
anthropic-claude-opus-4.6                     |       15 |   Min Events |    5 |       0.0%
anthropic-claude-opus-4.6                     |       15 |   Event Load |    5 |       0.0%
anthropic-claude-opus-4.6                     |       15 |      Min ECT |    5 |      20.0%
anthropic-claude-opus-4.6                     |       15 |     ECT Load |    5 |       0.0%
anthropic-claude-opus-4.6                     |       16 |   Min Events |    5 |      40.0%
anthropic-claude-opus-4.6                     |       16 |   Event Load |    5 |      40.0%
anthropic-claude-opus-4.6                     |       16 |      Min ECT |    5 |      40.0%
anthropic-claude-opus-4.6                     |       16 |     ECT Load |    5 |       0.0%
anthropic-claude-opus-4.6                     |       17 |   Min Events |    5 |     100.0%
anthropic-claude-opus-4.6                     |       17 |   Event Load |    5 |     100.0%
anthropic-claude-opus-4.6                     |       17 |      Min ECT |    5 |     100.0%
anthropic-claude-opus-4.6                     |       17 |     ECT Load |    5 |     100.0%
anthropic-claude-opus-4.6                     |       18 |   Min Events |    5 |     100.0%
