Scenario   |        Extra |      N |   Accuracy
--------------------------------------------------
23         |      Min ECT |    125 |       2.4%
23         |   Event Load |    125 |       4.0%
23         |     ECT Load |    125 |       4.0%
23         |   Min Events |    125 |       6.4%
29         |     ECT Load |    125 |       6.4%
27         |     ECT Load |    125 |      12.8%
24         |     ECT Load |    125 |      15.2%
24         |      Min ECT |    125 |      18.4%
29         |      Min ECT |    124 |      18.5%
15         |   Min Events |    125 |      19.2%
16         |      Min ECT |    125 |      19.2%
22         |     ECT Load |    125 |      19.2%
14         |     ECT Load |    125 |      20.8%
16         |   Event Load |    125 |      20.8%
16         |     ECT Load |    125 |      21.6%
27         |   Event Load |    125 |      21.6%
24         |   Event Load |    125 |      22.4%
32         |   Min Events |    125 |      22.4%
21         |   Event Load |    125 |      23.2%
29         |   Event Load |    125 |      23.2%
28         |     ECT Load |    124 |      23.4%
14         |   Event Load |    125 |      24.0%
20         |      Min ECT |    125 |      24.0%
20         |     ECT Load |    125 |      24.0%
15         |   Event Load |    125 |      24.8%
14         |      Min ECT |    125 |      25.6%
22         |      Min ECT |    125 |      25.6%
21         |      Min ECT |    125 |      26.4%
30         |   Min Events |    125 |      26.4%
32         |     ECT Load |    125 |      26.4%
27         |      Min ECT |    125 |      27.2%
28         |   Min Events |    125 |      27.2%
30         |     ECT Load |    125 |      27.2%
31         |      Min ECT |    125 |      27.2%
14         |   Min Events |    125 |      28.0%
24         |   Min Events |    125 |      28.0%
15         |      Min ECT |    124 |      28.2%
15         |     ECT Load |    125 |      28.8%
21         |   Min Events |    125 |      28.8%
21         |     ECT Load |    124 |      29.0%
31         |   Min Events |    125 |      29.6%
30         |      Min ECT |    125 |      31.2%
39         |     ECT Load |    125 |      31.2%
12         |   Event Load |    125 |      32.0%
12         |      Min ECT |    125 |      32.0%
13         |   Min Events |    125 |      32.0%
22         |   Event Load |    125 |      32.0%
31         |     ECT Load |    125 |      32.0%
32         |      Min ECT |    125 |      32.0%
12         |     ECT Load |    124 |      32.3%
13         |   Event Load |    125 |      32.8%
28         |   Event Load |    125 |      32.8%
32         |   Event Load |    125 |      32.8%
16         |   Min Events |    125 |      33.6%
27         |   Min Events |    125 |      34.4%
20         |   Event Load |    125 |      35.2%
28         |      Min ECT |    125 |      35.2%
29         |   Min Events |    125 |      35.2%
31         |   Event Load |    125 |      36.0%
39         |      Min ECT |    125 |      37.6%
13         |      Min ECT |    125 |      39.2%
30         |   Event Load |    125 |      41.6%
10         |     ECT Load |    124 |      42.7%
12         |   Min Events |    125 |      44.0%
13         |     ECT Load |    125 |      44.0%
39         |   Event Load |    125 |      44.0%
37         |     ECT Load |    121 |      44.6%
11         |     ECT Load |    125 |      48.0%
37         |   Min Events |    125 |      48.0%
11         |      Min ECT |    125 |      49.6%
8          |     ECT Load |    124 |      50.0%
37         |   Event Load |    125 |      50.4%
11         |   Event Load |    125 |      51.2%
20         |   Min Events |    125 |      51.2%
37         |      Min ECT |    124 |      51.6%
8          |   Min Events |    125 |      53.6%
7          |     ECT Load |    122 |      54.9%
8          |      Min ECT |    125 |      55.2%
10         |   Event Load |    125 |      57.6%
10         |   Min Events |    125 |      58.4%
39         |   Min Events |    125 |      59.2%
8          |   Event Load |    125 |      60.8%
9          |     ECT Load |    125 |      60.8%
11         |   Min Events |    125 |      60.8%
10         |      Min ECT |    125 |      64.8%
22         |   Min Events |    125 |      64.8%
7          |      Min ECT |    125 |      72.8%
7          |   Event Load |    125 |      76.8%
9          |      Min ECT |    125 |      79.2%
7          |   Min Events |    125 |      81.6%
9          |   Event Load |    125 |      81.6%
18         |     ECT Load |    125 |      81.6%
19         |     ECT Load |    125 |      82.4%
17         |     ECT Load |    125 |      83.2%
19         |   Min Events |    125 |      83.2%
19         |   Event Load |    125 |      83.2%
17         |      Min ECT |    125 |      84.0%
18         |   Min Events |    125 |      84.0%
17         |   Min Events |    125 |      85.6%
19         |      Min ECT |    125 |      86.4%
17         |   Event Load |    125 |      87.2%
9          |   Min Events |    125 |      88.0%
18         |      Min ECT |    125 |      88.8%
18         |   Event Load |    125 |      91.2%
--------------------------------------------------
