
Model                                    |     N |      Overall |   Min Events |   Event Load |      Min ECT |     ECT Load
----------------------------------------------------------------------------------------------------------------------------------
anthropic-claude-opus-4.6                |   520 |  65.8% (± 4.1) |  68.5% (± 7.9) |  73.1% (± 7.5) |  77.7% (± 7.1) |  43.8% (± 8.4)
anthropic-claude-opus-4.6 (lies ok)      |   520 |  67.1% (± 4.0) |  69.2% (± 7.8) |  73.8% (± 7.5) |  77.7% (± 7.1) |  47.7% (± 8.5)
anthropic-claude-opus-4.6 (with COT)     |   520 |  85.6% (± 3.0) |  85.4% (± 6.1) |  86.9% (± 5.8) |  85.4% (± 6.1) |  84.6% (± 6.2)
anthropic-claude-opus-4.6 (with COT) (lies ok) |   520 |  87.7% (± 2.8) |  86.9% (± 5.8) |  88.5% (± 5.5) |  86.9% (± 5.8) |  88.5% (± 5.5)
anthropic-claude-opus-4.6_think          |  1040 |  88.2% (± 2.0) |  91.9% (± 3.3) |  88.8% (± 3.8) |  87.7% (± 4.0) |  84.2% (± 4.4)
anthropic-claude-opus-4.6_think (lies ok) |  1040 |  89.2% (± 1.9) |  91.9% (± 3.3) |  89.2% (± 3.8) |  88.8% (± 3.8) |  86.9% (± 4.1)
anthropic-claude-opus-4.6_think (lose)   |   520 |  87.1% (± 2.9) |  89.2% (± 5.4) |  86.9% (± 5.8) |  86.9% (± 5.8) |  85.4% (± 6.1)
anthropic-claude-opus-4.6_think (lose) (lies ok) |   520 |  89.0% (± 2.7) |  90.0% (± 5.2) |  90.0% (± 5.2) |  88.5% (± 5.5) |  87.7% (± 5.7)
deepseek-chat-v3.1                       |  1040 |  43.7% (± 3.0) |  56.9% (± 6.0) |  45.0% (± 6.0) |  36.9% (± 5.8) |  35.8% (± 5.8)
deepseek-chat-v3.1 (lies ok)             |  1040 |  45.8% (± 3.0) |  58.1% (± 6.0) |  45.4% (± 6.0) |  38.8% (± 5.9) |  40.8% (± 5.9)
deepseek-chat-v3.1 (lose)                |  1040 |  44.7% (± 3.0) |  56.5% (± 6.0) |  46.5% (± 6.0) |  42.3% (± 6.0) |  33.5% (± 5.7)
deepseek-chat-v3.1 (lose) (lies ok)      |  1040 |  46.2% (± 3.0) |  57.7% (± 6.0) |  47.3% (± 6.0) |  42.7% (± 6.0) |  37.3% (± 5.8)
deepseek-chat-v3.1 (with COT)            |  1037 |  46.1% (± 3.0) |  51.5% (± 6.0) |  44.2% (± 6.0) |  41.9% (± 6.0) |  46.7% (± 6.1)
deepseek-chat-v3.1 (with COT) (lies ok)  |  1037 |  54.3% (± 3.0) |  59.6% (± 5.9) |  51.5% (± 6.0) |  47.7% (± 6.0) |  58.4% (± 6.0)
deepseek-chat-v3.1 (with COT) (lose)     |  1032 |  40.5% (± 3.0) |  37.7% (± 5.9) |  40.0% (± 5.9) |  41.1% (± 6.0) |  43.3% (± 6.0)
deepseek-chat-v3.1 (with COT) (lose) (lies ok) |  1032 |  47.4% (± 3.0) |  43.5% (± 6.0) |  45.8% (± 6.0) |  47.3% (± 6.0) |  53.1% (± 6.1)
deepseek-v3.2                            |  1040 |  13.6% (± 2.1) |  16.2% (± 4.5) |  13.1% (± 4.1) |  13.8% (± 4.2) |  11.2% (± 3.8)
deepseek-v3.2 (lies ok)                  |  1040 |  18.7% (± 2.4) |  21.2% (± 4.9) |  16.9% (± 4.5) |  17.7% (± 4.6) |  18.8% (± 4.7)
deepseek-v3.2 (with COT)                 |  1036 |  44.3% (± 3.0) |  43.5% (± 6.0) |  48.1% (± 6.0) |  44.8% (± 6.0) |  40.9% (± 6.0)
deepseek-v3.2 (with COT) (lies ok)       |  1036 |  48.7% (± 3.0) |  47.7% (± 6.0) |  53.1% (± 6.0) |  47.5% (± 6.0) |  46.7% (± 6.1)
kimi-k2-0905                             |  1040 |  28.7% (± 2.7) |  43.8% (± 6.0) |  30.0% (± 5.5) |  26.5% (± 5.3) |  14.2% (± 4.2)
kimi-k2-0905 (lies ok)                   |  1040 |  29.8% (± 2.8) |  46.9% (± 6.0) |  30.0% (± 5.5) |  26.9% (± 5.4) |  15.4% (± 4.4)
kimi-k2-0905 (lose)                      |  1040 |  22.8% (± 2.5) |  29.2% (± 5.5) |  23.5% (± 5.1) |  23.8% (± 5.2) |  14.6% (± 4.3)
kimi-k2-0905 (lose) (lies ok)            |  1040 |  25.4% (± 2.6) |  33.5% (± 5.7) |  23.8% (± 5.2) |  26.2% (± 5.3) |  18.1% (± 4.7)
kimi-k2-0905 (with COT)                  |  1040 |  10.9% (± 1.9) |  15.4% (± 4.4) |  11.9% (± 3.9) |   9.6% (± 3.6) |   6.5% (± 3.0)
kimi-k2-0905 (with COT) (lies ok)        |  1040 |  11.5% (± 1.9) |  16.9% (± 4.5) |  11.9% (± 3.9) |  10.0% (± 3.7) |   7.3% (± 3.2)
kimi-k2-0905 (with COT) (lose)           |  1040 |  22.2% (± 2.5) |  19.2% (± 4.8) |  25.4% (± 5.3) |  26.9% (± 5.4) |  17.3% (± 4.6)
kimi-k2-0905 (with COT) (lose) (lies ok) |  1040 |  23.1% (± 2.6) |  20.0% (± 4.8) |  27.3% (± 5.4) |  27.7% (± 5.4) |  17.3% (± 4.6)
==================================================================================================================================
